Geolytica,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/geolytica_2e34133b7dad5f13.png,Consumer Lifestyle Data
GiantLeap Interactive,"Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/giantleap-interactive_06411efd52c83d2b.png,"Healthcare Data,B2B Data,B2B Intent Data,Technographics Data,"
GIST,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gist_6db3dc93aeae393f.png,Environmental Data
Global Pricing Innovations,"Price Segmentation Strategy,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/global-pricing-innovations-limited_f9c87a5cc0aa3b36.png,Healthcare Data
Gmgft,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gmgft_35c4785e08550fd9.JPG,Trade Data
Goldbaum,"Portfolio Management,Product Performance Forecasting,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/goldbaum_70a4f4a0ddd0b36e.png,"Stock & Market Data,Environmental Data,"
Graviton,"Portfolio Management,Hedge Fund Management,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/graviton_f443e092f687ceb7.png,"Stock & Market Data,Business Registry Data,Economic Data"
Grepsr,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/grepsr_37f9f5a59201bda7.png,"Real Estate Data,Real Estate Investment Data,Stock & Market Data,Firmographic Data,Environmental Data,Economic Data,Employment Data"
Handshakes,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/handshakes_c9c3447a96f611b3.png,"Company Data,,Business Registry Data"
HealthWise Data,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/healthwise-data_fbeb86572d8c4bf7.jpg,"Demographic Data,Individual Data,Healthcare Data,IoMT: Internet of Medical Things,Consumer Lifestyle Data,"
Helios,"Portfolio Management,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/helios_8e0b6f8150d3e3f5.jpeg,"Stock & Market Data,,Economic Data"
HG Insights,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hg-data_6cb1ceb26c9aa660.png,"Company Data,Firmographic Data,Technographics Data,"
Hoeg & Company,"Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hoeg-company_f78c008bccc8fa46.jpg,"Company Data,Economic Data,Legal and IP Data"
HSAT,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hsat_63b0968486f5bda8.png,"Trade Data,Agriculture Data"
HubioID,"Targeted Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hubioid_f41b2bc33d35c4b8.png,",B2B Data"
hubsell,"Lead Scoring,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/hubsell_4ca422df7127e59d.png,"Company Data,B2B Intent Data,B2B Data,"
Humatrics,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/humatrics_82031c6679696b4b.jpeg,",Political Data,Individual Data"
Huq Industries,"Hedge Fund Management,Algo-Trading,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/huq_a8b5c8fbc52643f7.png,",Economic Data,Stock & Market Data"
Iberinform,"Supply Chain Management,B2B Credit Risk,Portfolio Management,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/iberinform_2b069f824355981f.png,"Company Data,Economic Data,B2B Marketing Fit Data,B2B Data,Product Review Data,Retail & Commerce Data"
IDMerit,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/idmerit_b6813ffb77391a79.png,"Individual Data,,Political Data,Consumer Lifestyle Data"
Impact Cubed,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/impact-cubed-b95a0cd9-c059-431f-9821-16befc3540cd_29a4091344bc1a86.png,Environmental Data
IMPACTIN,"Smart Cities,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/impactin_414ec45e6f831592.png,Environmental Data
Infatica,Pricing Optimization,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/infatica_0d2c02f6b2881d87.jpeg,",IP Data"
Infotanks Media,"Targeted Marketing,Account-Based Marketing,Competitor Analysis,Persona Detection/Segmentation,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/infotanks-media_f2b1feb97b194bce.png,"B2B Marketing Fit Data,Healthcare Data,Business Registry Data,,B2B Data,B2B Intent Data,Firmographic Data,Industry-Specific Data,Individual Data,Company Data,Technographics Data,Employment Data"
InQuartik,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/inquartik_32acb05fd2055e6c.jpeg,"Economic Data,Legal and IP Data,Patent Data,Legal Case Data"
Intellizence,"Portfolio Management,Hedge Fund Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/intellizence_aa3b33ceade4b6f6.png,"Company Data,Economic Data,B2B Intent Data,Business Registry Data,Environmental Data,News Data,,Business Credit Rating Data"
Interceptd,Mobile App Development,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/interceptd_5089257345067eeb.svg,"App Data,Marketing Attribution Data,"
IPQualityScore (IPQS),"Lead Scoring,Supplier Risk,MFA Security",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ipqualityscore-ipqs_201fb1831ceeb130.png,",Email Data,B2B Data,Consumer Lifestyle Data,Marketing Attribution Data"
ISIN2LEI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/isin2lei_597599ce3d4acc12.jpeg,"Company Data,Stock & Market Data,Economic Data,Business Registry Data,"
ISS ESG,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/iss-esg-62724931-3144-4bd6-9915-d8ac50862980_db494239c47e8da7.png,",Climate and Weather Data,Environmental Data"
Jobalytics,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/jobalytics_765a41397dbd2ff5.png,"Individual Data,Employment Data"
K-Meta,Competitor Analysis,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/k-meta_4561d0fc1e6907a3.png,"Web Data,SEO & Web Advertising Data,Retail & Commerce Data,,Website Data"
Kaiko,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kaiko-data_a77711e71fb40299.png,"Trade Data,,Stock & Market Data"
Kamba Group,"Algo-Trading,Portfolio Management,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kamba-group_0f22b7907b4d476c.jpg,"Trade Data,,Economic Data"
KASPR Datahaus,"Supplier Risk,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kaspr-datahaus_56a013ec9e525bb5.jpeg,IP Data
Kido Dynamics,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kido-dynamics_3e72e72f933355c7.png,",Foot Traffic Data,Tourism Data"
Kieli,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/kieli_e5ac057dcb8f77b4.jpeg,"Product Review Data,,Web Data"
Knowsis,"Portfolio Management,Competitor Analysis,Predictive Maintenance,Supplier Risk,Pricing Optimization,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/knowsis.png,"Social Media Sentiment Data,Stock & Market Data,B2B Data,B2B Intent Data,Economic Data,Environmental Data,News Data,Social Data,"
Knuckle Head,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/knuckle-head_806bfb111e84a4a9.jpeg,"Company Data,Individual Data,Stock & Market Data,Retail & Commerce Data,,B2B Data,Clinical Trial Data,Hospitality Industry Data,SEO & Web Advertising Data,Medical Imagery Data,Patient Data,Website Data"
LBDigital,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lbdigital_6dcf1ad58a2d172b.png,",B2B Intent Data,B2B Data,Firmographic Data"
Lead411,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/logo-3.png,"Company Data,Technographics Data,,Business Credit Rating Data"
Leadbook,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leadbook_fdc7291ec6202145.png,"B2B Marketing Fit Data,B2B Data,B2B Intent Data"
Leads XL,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leads-xl_acde58088b031e2a.jpeg,"B2B Data,Firmographic Data,B2B Intent Data,"
LeadsIntel,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/leadsintel_63c7d1b957cb809c.jpeg,"B2B Intent Data,B2B Data"
Lepton Software,"Traffic Management,Predictive Maintenance,Geospatial Effort Prioritization/Store Location Planning,Product Performance Forecasting,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lepton-software_ef02dbef1be28226.jpeg,"Demographic Data,Individual Data,,GPS Data,Location Data,Traffic and Routing Data,Map Data,Construction Industry Data"
Lifesight,"Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/lifesight_df1bc43dcd97ae0a.png,"Individual Data,,Consumer Survey Data,Email Data,Identity Data,Consumer Lifestyle Data,Web Data,Website Traffic Data,Website Data"
LinkUp Job Search Engine,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/linkup-job-search-engine_e7d84ee89cfc48a0.png,Employment Data
Listkit,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/listkit_7b1d7967bff03e90.jpeg,"B2B Intent Data,B2B Data"
Locationscloud,"Geospatial Effort Prioritization/Store Location Planning,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/locationscloud_360ccb3b994c2883.png,"Location Data,Individual Data,B2B Marketing Fit Data,Demographic Data,Online/Mobile Data,App Data,,Retail & Commerce Data,Identity Data"
Locomizer,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/locomizer.jpg,",Location Data,Individual Data,Retail & Commerce Data"
London Data Unit,"Supply Chain Management,Geospatial Effort Prioritization/Store Location Planning",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/london-data-unit_edbe752b6e781e79.jpeg,"Demographic Data,Map Data"
Mantheos,"Competitor Analysis,Online and Social Media Performance Tracking,Behavioral Targeting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mantheos_f492ac4c72984f49.jpeg,"Company Data,Social Media Sentiment Data,Individual Data,Firmographic Data,Social Data,,Employment Data"
MapMyIndia,V2X Technology,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mapmyindia-by-ce-info-systems-pvt-ltd_1da4e22288575ba9.jpg,"Traffic and Routing Data,Automotive Industry Data,Map Data,"
Mapping Resources,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mapping-resources_15c696e21c99bae4.jpeg,"Marketing Attribution Data,Demographic Data,Legal Case Data"
Marcus Weather,"Algo-Trading,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/marcus-weather_159535012684cc6b.png,"Map Data,Climate and Weather Data"
MariTrace,"Supply Chain Management,Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/maritrace_64a672f3d89f2606.png,"Maritime Industry Data,GPS Data,Energy Data,,Political Data,Economic Data,Commodity Market Data"
Market Inside Data,"Smart Ship,Portfolio Management,Product Performance Forecasting,Competitor Analysis,Hedge Fund Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/market-inside-data_026ce80a35674b13.png,"Company Data,,Maritime Industry Data,Trade Data,Aerospace Industry Data,Industry-Specific Data"
Market Report Company,Supply Chain Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/market-report-company_9c75ae5f9be15cd9.jpeg,"Trade Data,Commodity Market Data"
Market Vectors,"Portfolio Management,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/Market%20Vectors_d9e735aab15cb58f.png,",Web Data,App Data,Social Data,Website Traffic Data"
Matrixian Group,"Traffic Management,Persona Detection/Segmentation",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/matrixian-group_433f5e1f7d7a057f.JPG,"B2B Marketing Fit Data,,Real Estate Data,Demographic Data,Individual Data,Location Data,B2B Data,Economic Data,Real Estate Investment Data,Traffic and Routing Data"
Mattermark,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mattermark.png,"Company Data,Employment Data,B2B Data,"
MBI Geodata,"Targeted Marketing,Geospatial Effort Prioritization/Store Location Planning,Online and Social Media Performance Tracking,Supply Chain Management,Behavioral Targeting,Promotion Planning,Supplier Risk,Traffic Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mbi-data_0346fe1f838b8582.jpg,"Demographic Data,Consumer Lifestyle Data,Economic Data,Location Data,Political Data,Individual Data,Retail & Commerce Data,Industry-Specific Data"
Measurable AI,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/measurable-ai_ebe086cb8d3003af.png,Individual Data
mediasmart,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mediasmart_61f2653cd16681c3.svg,"Sports & Entertainment Data,Individual Data,Retail & Commerce Data,TV Streaming Rating Data"
MediaWallah,"Targeted Marketing,Remarketing Campaigns",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mediawallah_7e3e853ee8a90827.jpg,"Individual Data,Consumer Survey Data,Identity Data,Consumer Lifestyle Data"
MedicoReach,"Targeted Marketing,Lead Scoring,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/medicoreach_f58c4a178bb06abf.png,",B2B Marketing Fit Data,Business Registry Data,Healthcare Data,Wearable Technology Data,Economic Data,IoMT: Internet of Medical Things,Individual Data,B2B Data,B2B Intent Data,Marketing Attribution Data,Clinical Trial Data,Industry-Specific Data"
MedMine,"Pricing Optimization,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/medmine.png,"Company Data,,Retail & Commerce Data"
Meteomatics,"Product Performance Forecasting,Portfolio Management,Promotion Planning",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/meteomatics_a221edd78e5effb2.png,"Energy Data,Environmental Data,Climate and Weather Data,,Agriculture Data"
MetricsDriven,"Targeted Marketing,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/metricsdriven_97baf533d5878107.png,"Hospitality Industry Data,Tourism Data,B2B Data,Technographics Data,Web Data,Marketing Attribution Data,Firmographic Data"
Michelin,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/michelin_0be617d9458840c9.png,Automotive Industry Data
Mintec Global,"Pricing Optimization,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mintec-global_38ca09fa05062ca0.png,"Retail & Commerce Data,,Product Review Data,Industry-Specific Data"
Mirage,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mirage_726a7eb9c80edfec.jpeg,
MixRank,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/mixrank_116f08f0a4d49e10.png,Online/Mobile Data
MoMAGIC,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/momagic_ec8ad6fe3f281b2a.png,"Individual Data,App Data"
Money Dashboard,"Portfolio Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/money-dashboard.png,"Individual Data,Consumer Survey Data,Retail & Commerce Data,Consumer Lifestyle Data"
Multimedia Lists,Online and Social Media Performance Tracking,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/multimedia-lists_83a557d540d48a84.png,"Real Estate Investment Data,,Individual Data,Real Estate Data,Retail & Commerce Data,Consumer Lifestyle Data,Email Data,IP Data,Automotive Industry Data,Political Poll Data,Business Credit Rating Data,Social Data,Economic Data"
Netlas.io,"Competitor Analysis,Cybersecurity Posture",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/netlas_fe69db349731e753.png,"SEO & Web Advertising Data,Business Registry Data,Website Data,IP Data"
NetWise,"Online and Social Media Performance Tracking,Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/netwise-data_396f7ec68b9422bc.png,"Company Data,B2B Marketing Fit Data,B2B Data,,Marketing Attribution Data"
New Change FX,"Portfolio Management,Supplier Risk,Algo-Trading,Hedge Fund Management,Cryptocurrency Investment Strategy",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/new-change-fx_6d0cfc88cbfe7d99.jpg,"Trade Data,,Stock & Market Data,Foreign Exchange Market Data,Economic Data"
Nikkei Market Data,"AI Financial Planning Program,Algo-Trading,Predictive Maintenance,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/nikkei_351c2d88b260696f.jpeg,"Consumer Lifestyle Data,Retail & Commerce Data,Stock & Market Data,Environmental Data,News Data,"
OceanFrogs,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oceanfrogs_7e31567a23c2e8ac.jpeg,"B2B Data,Technographics Data,"
OikoLab Weather,"Product Performance Forecasting,Promotion Planning,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oikolab-weather_dad9c01f91594661.jpeg,Climate and Weather Data
Olsen Data,"Portfolio Management,Algo-Trading,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/olsen-data_f515d0f69c4dcea6.jpeg,"Foreign Exchange Market Data,Stock & Market Data,Economic Data,Commodity Market Data"
Olvin,"Geospatial Effort Prioritization/Store Location Planning,Predictive Maintenance",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/olvin_625bd43d5fc9ec5a.png,"Tourism Data,Foot Traffic Data,Retail & Commerce Data"
OnAudience,"Online and Social Media Performance Tracking,Targeted Marketing,Behavioral Targeting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/onaudience-com.jpg,"Demographic Data,,Individual Data,App Data,Website Traffic Data"
Open People Search,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/open-people-search_ffbbcba93b0a2598.png,"Email Data,Consumer Lifestyle Data,"
OpenAVN,"Hedge Fund Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/openavn_105b35d8475e2b13.jpeg,"Political Data,Economic Data,IP Data"
Oscar Research,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oscar-research_23ed09bc3ff04f90.jpg,",Political Data,Real Estate Data"
Outlogic,"Targeted Marketing,Cybersecurity Posture",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/x-mode_ada3bb1995844a01.jpeg,"Location Data,,Sports & Entertainment Data,Consumer Lifestyle Data,GPS Data,Online/Mobile Data"
Outwardmedia,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/outwardmedia_9b055c6a2577aba4.png,",B2B Data,B2B Intent Data"
Owl Analytics,"Algo-Trading,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/owl-analytics.png,"Environmental Data,Economic Data"
Oxylabs,"V2X Technology,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/oxylabs_99892f3a16e4707a.png,"Business Registry Data,Tourism Data,Retail & Commerce Data,SEO & Web Advertising Data,Economic Data,Real Estate Data,Web Data,Stock & Market Data,Social Data,Automotive Industry Data,C2C E-Commerce Data"
Petabite,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/petabite-gmbh_6b5d77c6ce2c18cf.jpeg,"Maritime Industry Data,Satellite Data"
Photon Commerce,"Portfolio Management,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/photon-commerce_47e1c53e16ffe50d.jpg,"B2B Data,Email Data,Retail & Commerce Data,"
Pi Financial Services Intelligence,"Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pi-financial-services-intelligence_cc65f8e1f5f584cc.png,"Company Data,Economic Data,Legal and IP Data,Web Data,Employment Data"
Picasso,Online and Social Media Performance Tracking,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/picasso_c156e8e3a6260ad7.png,"Social Data,News Data,Economic Data"
Predik Data-driven,"Online and Social Media Performance Tracking,Pricing Optimization,Behavioral Targeting,Portfolio Management,Competitor Analysis,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/centralamericadata_7e56d4b174f44823.jpeg,"Individual Data,Marketing Attribution Data,Retail & Commerce Data,Trade Data,Location Data,Construction Industry Data,Web Data,Real Estate Data,Tourism Data,,Economic Data,B2B Data,Social Data,Automotive Industry Data"
Prominent Contact,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prominent-contact_3344beb8173a1477.png,"Business Registry Data,,B2B Data"
ProspectNow,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prospectnow_91c40bf9c29545a2.png,Real Estate Data
PTV Group,"Traffic Management,Geospatial Effort Prioritization/Store Location Planning,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ptv-group_7a644c6f86a19f9c.jpeg,",Retail & Commerce Data,Location Data,Automotive Industry Data,Industry-Specific Data,Traffic and Routing Data,Tourism Data"
Pudof,"Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pudof_44b57aba4601db02.jpeg,"Maritime Industry Data,Property Ownership Data"
Pynk,"Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pynk_d303ced28545a9cf.png,",Economic Data,Stock & Market Data,Commodity Market Data"
Quant IP,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quant-ip_a18357510ef384cd.png,"Company Data,Patent Data,Economic Data"
QUICK,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quick_9fb6b297e7858455.jpg,"Stock & Market Data,Economic Data,,Business Credit Rating Data"
Rabbu,"Property Future Value & Mortgage Value Assessment,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rabbu_30737b9c1d11d5e0.jpeg,"Real Estate Investment Data,Real Estate Data"
Radius+,"Product Performance Forecasting,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/Radius%2B_f106c5722b1eea88.png,"Demographic Data,Retail & Commerce Data,B2B Intent Data"
RampedUp Global Data Solutions,"Account-Based Marketing,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/1430.png,"Company Data,Business Registry Data,Email Data,,B2B Data,Social Data"
RDA Index,"Pricing Optimization,Cryptocurrency Investment Strategy,Hedge Fund Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rda-index_fbc1501dcc602899.png,",Consumer Survey Data,Stock & Market Data,Retail & Commerce Data"
