,post_title,use_case,data_category,related_data_sets,data_provider
336,Arabesque S-Ray,,,,The Arabesque Group
337,ARC Ratings Corporate Data,,,,"ARC Ratings, SA"
338,AreaMetrics Ad Targeting,,,,AreaMetrics
339,AreaMetrics Beacon Detection Snippet,,,,AreaMetrics
340,AreaMetrics Competitor Intelligence,,,,AreaMetrics
341,Arialytics AI Research-as-a-Service Solutions,,,,Arialytics
342,Arity Driving-Based Marketing Solutions,,,,Arity
343,Arity Shared Mobility Solutions,,,,Arity
344,Arity Telematics-Driven Insurance Solutions,,,,Arity
345,Arkeero Hermes,,,,Arkeero
346,Arkeero Perseo,,,,Arkeero
347,Arkeero Retargeting,,,,Arkeero
348,Arm Technology Development Tools and Software,,,,Arm Technology
349,Arm Technology Pelion IoT Platform,,,,Arm Technology
350,Arm Technology Processors,,,,Arm Technology
351,Asiakastieto ID Protection (UC ID-Skydd),,,,Asiakastieto Group
352,Asiakastieto Personal Finance (Kreditkollen),,,,Asiakastieto Group
353,AsianCIS Fastcheck Reports,,,,AsianCIS
354,AsianCIS Fullcheck Reports,,,,AsianCIS
355,AsianCIS Nega-Scan Indicator,,,,AsianCIS
356,ASKfm Platform,,,,ASKfm
357,ASL Marketing Email,,,,ASL Marketing
358,ASL Marketing Mobile Location,,,,ASL Marketing
359,ASL Marketing Postal,,,,ASL Marketing
360,Astutex Platform,,,,Astutex
361,AthleteMonitoring Data,,,,AthleteMonitoring
362,Atmospheric and Environmental Science Atmosphere,,,,Atmospheric and Environmental Science
363,Atmospheric and Environmental Science Climate & Weather,,,,Atmospheric and Environmental Science
364,Atmospheric and Environmental Science Earth,,,,Atmospheric and Environmental Science
365,Atoka Geospatial Consulting,,,,Atoka
366,Atoka Laboratory Services,,,,Atoka
367,Atoka Litigation Expert Witness Services,,,,Atoka
368,Atradius Credit Insurance,,,,Atradius
369,Atradius Global Credit Insurance,,,,Atradius
370,Atradius Special Products,,,,Atradius
371,ATTOM Data Solutions Boundaries Data,,,,ATTOM Data Solutions
372,ATTOM Data Solutions Neighborhood Data,,,,ATTOM Data Solutions
373,ATTOM Data Solutions Property Data,,,,ATTOM Data Solutions
374,Attribution by Foursquare and Factual,,,,"Factual,Foursquare,"
375,Audience by Skimlinks,,,,Skimlinks
376,Audience Data for Nordic Marketers,,,,Nordic Data Resources
377,Audience Partners Linear TV,,,,Audience Partners
378,Audience powered by Factual,,,,Factual
379,Audience Serv Data-driven Email Marketing,,,,Audience Serv
380,Audience Serv Lead Generation,,,,Audience Serv
381,Audience Serv Livesend,,,,Audience Serv
382,AudienceProject Brand Tracker,,,,AudienceProject
383,AudienceProject EngagementReport,,,,AudienceProject
384,Audiencerate Audience Data Platform with Global Coverage for Marketers,,"IP Data,Online/Mobile Data,Website Traffic Data","Audiencerate Data Platform for Data owners        by Audiencerate      ,Audience Data for Nordic Marketers        by Nordic Data Resources      ,start.io Prepackaged Audiences - Audience Data with Global Coverage        by start.io      ,OnAudience Data Management Platform (DMP)        by OnAudience      ",Audiencerate
385,Audiencerate Data,",Behavioral Targeting","Individual Data,Demographic Data","Audiencerate Audience Data Platform with Global Coverage for Marketers        by Audiencerate      ,OnAudience Data Management Platform (DMP)        by OnAudience      ,Audiencerate Propietary Audience Data Offering with global coverage and fully GDPR/CCPA compliant        by Audiencerate      ,NetWise Audience Platform self-serve access to quality activation-ready, multi-channel B2B data        by NetWise      ",Audiencerate
386,Audiencerate Data for Marketers,,"IP Data,Online/Mobile Data,Website Traffic Data","Audiencerate Data Platform for Data owners        by Audiencerate      ,Audience Data for Nordic Marketers        by Nordic Data Resources      ,start.io Prepackaged Audiences - Audience Data with Global Coverage        by start.io      ,OnAudience Data Management Platform (DMP)        by OnAudience      ",Audiencerate
387,Audiencerate Data Platform for Data Owners,",Behavioral Targeting","Individual Data,Demographic Data","Audiencerate Audience Data Platform with Global Coverage for Marketers        by Audiencerate      ,OnAudience Data Management Platform (DMP)        by OnAudience      ,Audiencerate Propietary Audience Data Offering with global coverage and fully GDPR/CCPA compliant        by Audiencerate      ,NetWise Audience Platform self-serve access to quality activation-ready, multi-channel B2B data        by NetWise      ",Audiencerate
388,Audiencerate Propietary Audience Data Offering with global coverage and fully GDPR/CCPA compliant,,,,Audiencerate
389,Audiens Build Audiences,,,,Audiens
390,Audiens Capture Data,,,,Audiens
391,Audiens Customer Development Platform,,,,Audiens
392,Audiens Data Exchange,,,,Audiens
393,Audiens Resolve Identities,,,,Audiens
394,Audigent 1st Party Data Marketplace,,,,Audigent
395,Audigent 1st Party Data Platform,,,,Audigent
396,Audit Analytics Accounting Quality Risk Matrix Database,,,,Audit Analytics
397,Audit Analytics Adjustments Database,,,,Audit Analytics
398,Audit Analytics Audit Fees Database,,,,Audit Analytics
399,Auditorius Connected SSP,,,,Auditorius
400,Aumago B2B Display Alert,,,,Aumago
401,Aumago B2B Display Audience,,,,Aumago
402,Aumago B2B Text-Image,,,,Aumago
403,Australian Business Register ABN Grants & Programs,,,,Australian Business Register ABN
404,Australian Business Register ABN Registrations,,,,Australian Business Register ABN
405,AutoIQ by AnalyticsIQ - Consumer Vehicle Data USA - 118M Households,",Targeted Marketing",",Automotive Industry Data","TravelIQ by AnalyticsIQ - Consumer Travel Data USA - 118M Households        by AnalyticsIQ      ,WalkLists | Consumer Data Household Automobile Purchase USA (>240M Consumers)        by ScaleCampaign      ,TRAK Data - Full US Consumer Demographic Data File with 251M+ Individuals and 170M+ Households        by TRAK Data      ,Throtle - Consumer Identity Resolution USA (130M+ households, 250M+ individuals)        by Throtle      ",AnalyticsIQ
406,Autoklose Contact Management,,,,Autoklose
407,Autoklose Email Campaign Management,,,,Autoklose
408,Autoklose Real-Time Reporting and Email Tracking,,,,Autoklose
409,Automotive Data - Reach Automotive Industry Executives With Our Robust Automotive Data - Global Coverage - 100M+ Business Records,"Lead Scoring,Account-Based Marketing,","GPS Data,Automotive Industry Data","Oxylabs Automotive Industry Data Wordwide         by Oxylabs      ,Marketcheck Automotive API US & Canada (Gives Access To All Automotive Data, All In One Place)        by MarketCheck      ,Total Automotive Profiles - U.S. Only        by Infutor Data Solutions      ,POI Dataset - Automotive brands in the UK        by DataBing      ",Blue Mail Media
410,Automotive News Data Center,,,,Automotive News
411,AverickMedia Business Email Lists,,,,AverickMedia
412,Averty Brand Research,,,,Averty
413,Averty Online Panels,,,,Averty
414,Averty Product Research,,,,Averty
415,Aviation Data - Reach the Decision Makers in Aviation Industry to Reap Maximum ROI,"Lead Scoring,Account-Based Marketing,",Aerospace Industry Data,"Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe        by Blue Mail Media      ,Aviation Edge - Global Flight Tracker API - Live & Airborne Flight Data        by Aviation Edge      ,B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France)        by B2B Media Group      ,B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base        by Address-Base      ",Blue Mail Media
416,aWhere In-Time Weather Data,,,,aWhere
417,aWhere Maps4er,,,,aWhere
418,aWhere Weather Insights,,,,aWhere
419,Axonix Exchange,,,,Axonix
420,Axonix Programmatic Platform,,,,Axonix
421,Axonix Publishers Partnerships,,,,Axonix
422,AZ Direct Customer Insights,,,,AZ Direct
423,AZ Direct E-mail Marketing,"Lead Scoring,Account-Based Marketing,","B2B Marketing Fit Data,Healthcare Data,B2B Data,Individual Data","Healthcare Marketing Data | B2b Healthcare leads | Healthcare Email List - MedicoReach        by MedicoReach      ,Global B2B Marketing Database-Multichannel with email,phone and postal        by Data Marketers Group      ,Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant        by Adstra      ,B2B Lists LLC / Healthcare email list/ Opt-in/ USA and Globe / 2.4M        by B2B Lists      ",AZ Direct
424,AZ Direct Supplements,,,,AZ Direct
425,Azuqua Move To The Cloud,,,,Azuqua
426,"B2B Company Technology Stack / Install Base Data Europe, USA, APAC (2 Million accounts) - by Krill Technologies","Account-Based Marketing,,Competitor Analysis","Firmographic Data,Technographics Data","B2B Email Marketing & Contact Data for Europe & North America (4.5 Million accounts)- by Krill Technologies         by Krill Technologies      ,Tech Install Data / Technology User Intelligence (B2B)        by GiantLeap Interactive      ,Stirista Aberdeen Fusion B2B Technology Installed Data        by Stirista      ,Wappalyzer Technology Installs on Websites - Crawl API - Technographic Data        by Wappalyzer      ",Krill Technologies
427,"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records","Lead Scoring,Account-Based Marketing,",B2B Data,"Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records        by Blue Mail Media      ,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives        by MedicoReach      ,B2B Contact Data | InfoClutch - Reach out to business professionals with ease through B2B contact data        by InfoClutch      ,Verified B2B Contact Discovery - Custom List        by GiantLeap Interactive      ",Blue Mail Media
428,B2B Contact Data Worldwide by Industry - reach executives in your target industry - Thomson Data,"Lead Scoring,Targeted Marketing,","B2B Data,Firmographic Data,","Industry Data - Reach Executives Across Various Industries With Our Vast 60M+ Verified Records        by Blue Mail Media      ,B2B Executive Professional Database Worldwide, 130 Million Contacts (C-Suite, VP, Directors) - Thomson Data        by Thomson Data      ,Canada B2B Companies Data, Phones, Emails, Addresses, Websites, Industries, Executives        by Bestinfopoint      ,US Education Industry Professionals | B2B Contact Data by Every Market Media        by Every Market Media      ",Thomson Data
429,B2B Data Services Email Marketing Services,,,,B2B Data Services
430,B2B Data Services Search Engine Marketing,,,,B2B Data Services
431,B2B Data Services Social Media Marketing,,,,B2B Data Services
432,"B2B Decision Maker Data in USA, Canada, UK, Germany, Australia - Thomson Data","Lead Scoring,Targeted Marketing,",B2B Intent Data,"B2B International Executive Contact Database in USA, Canada, UK, Germany, Australia - Thomson Data        by Thomson Data      ,Photon Commerce - B2B Decision-Maker Contact Data (2.5M+ B2B contacts in US & Canada)        by Photon Commerce      ,B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France)        by B2B Media Group      ,B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base        by Address-Base      ",Thomson Data
433,"B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France)","Account-Based Marketing,","B2B Data,B2B Intent Data,Website Data","Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe        by Blue Mail Media      ,B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base        by Address-Base      ,Photon Commerce - B2B Decision-Maker Contact Data (2.5M+ B2B contacts in US & Canada)        by Photon Commerce      ,US Customer Service Directors and Decision-Makers | B2B Contact Data by Every Market Media        by Every Market Media      ",B2B Media Group
434,B2B Email Listz Database Services,,,,B2B Email Listz
435,B2B Email Listz Digital Marketing,,,,B2B Email Listz
436,B2B Email Listz Email Campaign,,,,B2B Email Listz
437,"B2B Executive Professional Database Worldwide, 130 Million Contacts (C-Suite, VP, Directors) - Thomson Data",,,,Thomson Data
438,B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent,"Account-Based Marketing,,Targeted Marketing","B2B Intent Data,B2B Data,","True Influence B2B Intent Data USA & Canada for B2B Marketing - 7000 B2B topics matched to contact intents        by True Influence      ,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID        by HubioID      ,180byTwo AccountLink | MAIDs + IPs matched to Company Users in the USA for Mobile Account Based Marketing & ABM Cross Channel        by 180byTwo      ,LeadSift Contact Level B2B Intent Data - Competitive Insights incl. Europe, Australia, USA, South Africa         by LeadSift      ",True Influence
439,"B2B International Executive Contact Database in USA, Canada, UK, Germany, Australia - Thomson Data","Lead Scoring,Targeted Marketing,","B2B Data,B2B Marketing Fit Data,B2B Intent Data,Firmographic Data","B2B Decision Maker Data in USA, Canada, UK, Germany, Australia - Thomson Data        by Thomson Data      ,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives        by MedicoReach      ,Yodlee's International Panel | Consumer Transaction Data for Canada, Australia, New Zealand, South Africa, de-identified)        by Envestnet | Yodlee      ,USA C-level executives b2b contact dataset (e-mail, phone, addresses)        by BizProspex      ",Thomson Data
440,B2B Kontaktdaten - Global Reach with 70 Million Records in 100 Countries - Thomson Data,"Lead Scoring,",B2B Data,"B2B Data - Global Reach with 70 Million Records in 100 Countries - Thomson Data        by Thomson Data      ,B2B Email Data -  Reach 70 Million Records in 100 Countries - Thomson Data        by Thomson Data      ,B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records        by Blue Mail Media      ,Eskimi's Telecom Data Stream in 100+ countries. Reach 2Bln unique device IDs        by Eskimi      ",Thomson Data
441,B2B Lead Army Data Appending/Enrichment,,,,B2B Lead Army
442,B2B Lead Army Email Personalization,,,,B2B Lead Army
443,B2B Lead Army Lead Generation,,,,B2B Lead Army
444,B2B Lead Generation Engine Database Worldwide (23 Million records) - by Krill Technologies,"Lead Scoring,Account-Based Marketing,","B2B Data,B2B Marketing Fit Data,,Marketing Attribution Data","B2B Lead Generation Engine Database Worldwide (23 Million records) - by The Lead Focused        by The Lead Focused      ,B2B Email marketing data USA & India - 27M records by Krill Technologies         by Krill Technologies      ,DataCaptive | B2B Contact, Technology and Tech Install Database Worldwide | 53M+ B2B contact information        by DataCaptive      ,Leadbook B2B Lead Generation Platform - Global Database, 200 Million Business Contacts        by Leadbook      ",Krill Technologies
445,B2B Leads Data | Ecommerce Leads Data - Reach Executives With Our Vast 100M+ Verified Business Records,"Lead Scoring,","B2B Data,","B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records        by Blue Mail Media      ,APAC Leads | Tele-Verified C-Level Executives Email List for Asia         by APAC Leads      ,B2B Leads Data | InfoClutch - Reach out to business professionals with ease through B2B Leads data        by InfoClutch      ,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives        by MedicoReach      ",Blue Mail Media
446,B2B Leo B2B Business Lists,,,,B2B Leo
447,B2B Leo Data Solutions,,,,B2B Leo
448,B2B Leo Web Marketing Services,,,,B2B Leo
449,B2B Marketing Archives Healthcare Mailing List,,,,B2B Marketing Archives
450,B2B Marketing Archives International Business Email List,,,,B2B Marketing Archives
451,B2B Marketing Archives Technology Users List,,,,B2B Marketing Archives
452,"B2B Marketing Data | Telemarketing Data, 100M+ Verified Business Records, Global Coverage",,,,Blue Mail Media
453,B2B Media Group Display Advertising,,,,B2B Media Group
454,B2B Media Group Lead Generation,,,,B2B Media Group
455,B2B Media Group Native Adertising,,,,B2B Media Group
456,B2B Pakistan Business Directory,,,,B2B Pakistan
457,B2B Scorpion B2B Mailing List,,,,B2B Scorpion
458,B2B Scorpion Data Appending,,,,B2B Scorpion
459,B2B Scorpion Email Marketing Services,,,,B2B Scorpion
460,B2BSignals Cybersecurity Review,,,,B2BSignals
461,B2BSignals SaaS Review,,,,B2BSignals
462,B2BSignals Workstation Review,,,,B2BSignals
463,B2C Contact Data - Global Contact List - Reach B2C Audience Globally With Our Verified 200M+ B2C Contact Data,,,,Blue Mail Media
464,Ball Aerospace Commercial,,,,Ball Aerospace
465,Ball Aerospace Data Services,,,,Ball Aerospace
466,Ball Aerospace Defense & Intelligence,,,,Ball Aerospace
467,Bancomail Email List,,,,Bancomail
468,BankWatch Ratings Corporate Emissions,,,,BankWatch Ratings
469,Barbour ABI - Construction Market Data UK - Snap Analysis Report,,,,Barbour ABI
470,Barbour ABI - Construction Project Leads in the UK & contacts of decision makers (GDPR compliant),,,,Barbour ABI
471,"Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data",,,,Barbour ABI
472,Barbour ABI Construction Projects Leads for Subcontractors,,,,Barbour ABI
473,Barbour ABI Evolution,,,,Barbour ABI
474,Barbour ABI UK Construction Projects for Contractors,,,,Barbour ABI
475,Barchart CmdtyView,,,,Barchart
476,Barchart Digital,,,,Barchart
477,Barchart OnDemand,,,,Barchart
478,Barclays Performance Measures,,,,Barclays
479,Basarsoft Mapbasic,,,,Basarsoft
480,Basarsoft Mapinfo Pro,,,,Basarsoft
481,Basarsoft MapXtreme,,,,Basarsoft
482,Bayes Esports BEDEX,,,,Bayes Esports
483,Bayes Esports Esports Directory,,,,Bayes Esports
484,BayStreet Research Analyst Access,,,,BayStreet Research
485,BayStreet Research Research Report,,,,BayStreet Research
486,BayStreet Research Sell-Through Data,,,,BayStreet Research
487,Bazaarvoice Rating and Reviews,,,,Bazaarvoice
488,Bazaarvoice Sampling,,,,Bazaarvoice
489,Bazaarvoice Visual Content,,,,Bazaarvoice
490,BBVA API Market Digital Ecosystems,,,,BBVA API Market
491,BBVA API Market Regulatory APIs,,,,BBVA API Market
492,BBVA API Market Treasury Management,,,,BBVA API Market
493,BCI Asia Archify,,,,BCI Asia
494,BCI Asia LeadManger,,,,BCI Asia
495,BCI Asia Mobile,,,,BCI Asia
496,Behavioral & Demographic Audience Data by Reveal Mobile (Canada),,"Demographic Data,Location Data","Datonics Web Browsing Data for USA & Canada (Interest, Intent, Life Stage, Behavioral Audiences)        by Datonics      ,VISIT Data - Visits to PoIs Location Data by Reveal Mobile (USA & Canada)        by Reveal Mobile      ,OnAudience - User Behavior Data Stream (Raw Data Feeds)        by OnAudience      ,Mapping Resources: Canada Demographic Data        by Mapping Resources      ",Reveal Mobile
497,Beleader Databases Companies B2B,,,,Beleader
498,Beleader Private Databases B2C,,,,Beleader
499,Belkins Appointment Setting,,,,Belkins
500,Belkins Email Deliverability,,,,Belkins
501,Belkins Lead Generation Research,,,,Belkins
502,Benzinga Alternative Data,,,,Benzinga
503,Benzinga Delayed Stock Quotes,,,,Benzinga
504,Benzinga US Breaking Newswire,,,,Benzinga
505,Better Business Bureau Directory,,,,Better Business Bureau
506,Better Business Bureau Scam Tracker,,,,Better Business Bureau
507,BidClerk Platform,,,,BidClerk
508,Big Byte Insights Multi Family,,,,Big Byte Insights
509,Big Byte Insights Self Storage,,,,Big Byte Insights
510,Big Byte Insights Single Family,,,,Big Byte Insights
511,Big Data Exchange ID Check,,,,Big Data Exchange
512,Big Data Exchange Identity Resolution,,,,Big Data Exchange
513,Big Data Exchange Omnisource IQ-DaaS,,,,Big Data Exchange
514,Big Data Scoring Solution,,,,Big Data Scoring
515,Big Finance China Consumer Transaction Data,,,,Big Finance
516,Big Finance Data Platform,,,,Big Finance
517,Big Finance Korea Trade Data,,,,Big Finance
518,BIGDBM Automotive Repository - Consumer Vehicle Data for USA,,"Demographic Data,Automotive Industry Data","Automotive Vehicle Ownership for U.S.        by Gambit      ,TRAK Data - Full US Consumer Automotive Data -  Reach Vehicle Owners, In-Market Auto Shoppers, Target by Make, Model, Year, New, Used, Geography        by TRAK Data      ,BDEX In-Market Automotive Consumers Data⎢USA⎢Real-time Datasets        by BDEX      ,Automotive Data - Reach Automotive Industry Executives With Our Robust Automotive Data - Global Coverage - 100M+ Business Records        by Blue Mail Media      ",BIGDBM
519,BIGDBM Behavioral Insights & Analytics,,,,BIGDBM
520,BIGDBM Data Market,,,,BIGDBM
521,BIGDBM Identity Resolution,,,,BIGDBM
522,"BIGDBM Real Property Residential, Non-Residential and Commercial Property Data for USA - Both Owners and RENTERS",,,,BIGDBM
523,"BIGDBM USA Consumer, Demographic, Interest Database, Property and Intender FIle",,,,BIGDBM
524,BIGDBM USA email Master File with over One Billion email Addresses and Processed Daily with CCPA compliant data,,,,BIGDBM
525,BigPicture ABM Dashboard & Automation,,,,BigPicture
526,BigPicture IP-to-Company Data API,,,,BigPicture
527,BinaryBeast API,,,,BinaryBeast
528,Biproxi Auction,,,,Biproxi
529,Bird.i Image Service,,,,Bird.i
530,Bisnode Business Contacts,,,,Bisnode
531,Bisnode Consumer Intelligence,,,,Bisnode
532,Bisnode Digital B2B Marketing,,,,Bisnode
533,"Bitvore Cellenus for Environmental, Social and Governance (ESG)",,,,Bitvore
534,Bitvore Cellenus for Salesforce Einstein,,,,Bitvore
535,Bitvore Cellenus Tracker,,,,Bitvore
536,Biuro Informacji Kredytowej Alerts,,,,Biuro Informacji Kredytowej
537,Biuro Informacji Kredytowej BIK Report,,,,Biuro Informacji Kredytowej
538,Bizo Database,,,,Bizo
539,BizQualify  Data,,,,BizQualify
540,BizQualify  Score,,,,BizQualify
541,Black Box Intelligence Consumer Intelligence,,,,Black Box Intelligence
542,Black Box Intelligence Supplier Intelligence,,,,Black Box Intelligence
543,Black Box Intelligence Workforce Intelligence,,,,Black Box Intelligence
544,BlackSky Assured,,,,BlackSky
545,BlackSky On-Demand,,,,BlackSky
546,Blink Charging Blink Map,,,,Blink Charging
547,Blis Activation,,,,Blis
548,Blis Analytics,,,,Blis
549,Blis Attribution,,,,Blis
550,Blockchain Investments & Co. Cryptocurrency Correlations,,,,Blockchain Investments & Co.
551,Blockchain Investments & Co. Cryptocurrency Ratings,,,,Blockchain Investments & Co.
552,Blockchain Investments & Co. Cryptocurrency Ratios and Sentiment,,,,Blockchain Investments & Co.
553,Bloomberg Content and Data,,,,Bloomberg
554,Bloomberg Execution and Order Management,,,,Bloomberg
555,Bloomberg Terminal,,,,Bloomberg
556,Blue Fire AI Proprietary Asset Intelligence,,,,Blue Fire AI
557,Blue Kangaroo TheTool,,,,Blue Kangaroo
558,Blue Label Data Solutions Lead Generation,,,,Blue Label Data Solutions
559,Blue Label Data Solutions SMS,,,,Blue Label Data Solutions
560,Blue Mail Media Custom Pro,,,,Blue Mail Media
561,Blue Mail Media DemandNxt,,,,Blue Mail Media
562,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe,,,,Blue Mail Media
563,"Blue Mail Media's Consumer Demographic Data - Employment Data, Age Data, Gender Data.",,,,Blue Mail Media
564,Blue Mail Media's Healthcare Industry Leads Data Helps You Reach Healthcare Professionals Across the Globe,,,,Blue Mail Media
565,BMLL Technologies BMLL Data Feed,,,,BMLL Technologies
566,BMLL Technologies BMLL Data Lab,,,,BMLL Technologies
567,BMLL Technologies BMLL Data Viz,,,,BMLL Technologies
568,BoardEx Integration,,,,BoardEx
569,BoardEx Mobile Application,,,,BoardEx
570,BoardEx Web Platform,,,,BoardEx
571,Bol Business Online Corpus Corpus,,,,Bol Business Online Corpus (Bol-corpus)
572,Bol Business Online Corpus DebtLine,,,,Bol Business Online Corpus (Bol-corpus)
573,"BoldData - B2B Business Data Worldwide (340M+ businesses, 150+ countries)",,,,BoldData
574,"BoldData - B2B Directory (340M+ businesses, 150+ countries)",,,,BoldData
575,"BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries)",,,,BoldData
576,"BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries)",,,,BoldData
577,"BoldData - B2B Website URL Data Worldwide (25M+ businesses, 150+ countries)",,,,BoldData
578,"BoldData - Custom Mailing List Creation Service (1,500+ criteria)",,,,BoldData
579,"BoldData - Global Company Data & B2B Contact Database (341m Companies, 227m Contacts)",,,,BoldData
580,BoldData - Healthcare Company Data (2.5M companies),,,,BoldData
581,BoldData - Private Company Database (300M+ private companies),,,,BoldData
582,"BoldData - Worldwide B2B Geocoding: Latitude and Longitude coordinates (270M+ businesses, 150+ countries)",,,,BoldData
583,BoldData Data Cleansing,,,,BoldData
584,BoldData Data Enhacement,,,,BoldData
585,BoldData Database,,,,BoldData
586,Bombora Audience Solution,,,,
587,Bombora Audience Solutions,,,,Bombora
588,Bombora Company Surge,,,,Bombora
589,Bombora Company Surge Analytics,,,,
590,Bombora Measurement,,,,Bombora
591,Booking.com Web platform,,,,Booking.com
592,Bookyourdata Custom Lists,,,,Bookyourdata
593,Bookyourdata Ready-Made Lists,,,,Bookyourdata
594,Booli Advertise,,,,Booli
595,Booli Find a Broker,,,,Booli
596,Booli Pro,,,,Booli
597,BornTec CrossCheck,,,,BornTec
598,Borrell Associates Compass,,,,Borrell Associates
599,Borrell Associates Free Ad Spending Data,,,,Borrell Associates
600,Borsa Italiana Alerts,,,,Borsa Italiana
601,Borsa Italiana Virtual Exchange,,,,Borsa Italiana
602,Brain Company Brain Sentiment Indicator,,,,Brain Company
603,Brain Company Machine Learning Stock Ranking,,,,Brain Company
604,Brain Corp BrainOS,,,,Brain Corp
605,Brain Language Metrics on Company Filings - Stock Market Sentiment Data / USA / Scores for 6000+ US Stocks,,,,Brain Company
606,Brain Marketing Data,,,,Brain
607,"Brain Sentiment Indicator - Currencies, Cryptocurrencies and Commodities",,,,Brain Company
608,Brain Sentiment Indicator / Stock Sentiment using NLP on financial news / 10000+ Global Stocks,,,,Brain Company
609,Brain Thematic Baskets - Industry-specific Stock Data / Global Coverage / Algorithm-based Data Selection,,,,Brain Company
610,Brandify Enterprise Locator,,,,Brandify
611,Brandify Listings Management,,,,Brandify
612,Brandify Local Pages,,,,Brandify
613,BrandLoyalty Consumer Solutions and Insights,,,,BrandLoyalty
614,BrandWatch Brand Management,,,,BrandWatch
615,BrandWatch Crisis Management,,,,BrandWatch
616,Brave New Coin Global Crypto Asset Spot Rates,,,,Brave New Coin
617,Brave New Coin Liquid Indices Program,,,,Brave New Coin
618,Brave New Coin XchangeFeed,,,,Brave New Coin
619,BreezoMeter Fires API,,,,BreezoMeter
620,BreezoMeter Global Pollen API,,,,BreezoMeter
621,Bridg Advanced System Integration,,,,Bridg
622,Bridge Marketing Consumer Audience Data,,,,Bridge Marketing
623,Bridge Marketing Identity Resolution,,,,Bridge Marketing
624,Bridge Marketing Media & Attribution Solutions,,,,Bridge Marketing
625,BrightSpeed Cloning of Best Customers,,,,BrightSpeed
626,BrightSpeed Email Campaign Deployment and Reporting,,,,BrightSpeed
627,BriteVerify From Validity DemandTools,,,,BriteVerify From Validity
628,BriteVerify From Validity DupeBlocker,,,,BriteVerify From Validity
629,BriteVerify From Validity Email List Verification,,,,BriteVerify From Validity
630,Broadcast Transcript Feed with Sentiment Analysis (GBTS),,,,TVEyes
631,Broughton Capital Report and Data Subscriptions,,,,Broughton Capital
632,BSC Egypt Egyptian Business Information Database,,,,BSC Egypt
633,BuildFax Insurance Solutions,,,,BuildFax
634,BuildFax Investment Solutions,,,,BuildFax
635,Building Radar CRM Integration,,,,Building Radar
636,Building Radar Individual Project-Filters,,,,Building Radar
637,BuildingFootprintUSA BuildingFootPrintUSA Addresses,,,,BuildingFootprintUSA
638,BuildingFootprintUSA Commercial Insights,,,,BuildingFootprintUSA
639,BuildingFootprintUSA Physical Characteristics,,,,BuildingFootprintUSA
640,BuiltWith Lead Generation,,,,BuiltWith
641,BuiltWith Market Analysis Feature,,,,BuiltWith
642,Bulk Database Solution Woldwide Database,,,,Bulk Database Solution
643,Bundesanzeiger Fund Data,,,,Bundesanzeiger
644,Bungee Tech Custom Solutions,,,,Bungee Tech
645,Bungee Tech For Brands,,,,Bungee Tech
646,Bungee Tech RetailScape,,,,Bungee Tech
647,BurdaDirect Hotel Voucher,,,,BurdaDirect
648,BurdaDirect Lotto Online Kiosk,,,,BurdaDirect
649,Bureau Van Dijk Catalyst,,,,Bureau Van Dijk
650,Busco Busco software,,,,Busco
651,"Business Credit Reporting and Corporate Credit Rating Data for US, Europe, Africa, Asia and Latina America",,,,Global Database
652,Business Data Prospects Email Data,,,,Business Data Prospects
653,Business Data Prospects UK Business Data,,,,Business Data Prospects
654,Business E-Telligence C-Level Officers At Email Address,,,,AmeriBase
655,Business Intelligence Advisors Due Diligence,,,,Business Intelligence Advisors
656,Business Intelligence Advisors Reseach Solutions Due Diligence,,,,Business Intelligence Advisors
657,Business News Americas Legal Solutions,,,,Business News Americas
658,Business News Americas Project Finance Solutions,,,,Business News Americas
659,Business Search API for 75 countries,,,,BoldData
660,BusinessWatch Network Subscription Service,,,,BusinessWatch Network
661,Busni.de AddOns,,,,Busni.de
662,BuzzBuzzHome Professionals,,,,BuzzBuzzHome
