,Name of the dataset,similar
400,"Data and Surrogate Models for Suspended Sediment, Total Nitrogen, and Total Phosphorus for the Kankakee River at Shelby, Indiana, January 5, 2016 to May 31, 2018","Data and Regression Model for Suspended Sediment for Iroquois River near Foresman, Indiana, March 20, 2015 to July 19, 2018
Isotopic and chemical composition (d13C, D14C, d15N, C:N, SUVA254nm, % HPOA) of aquatic carbon and field conditions (water temperature, pH, discharge) in the Upper Mississippi River Basin, October 2014 - February 2016
Datasets to reproduce the exploratory Bayesian network developed in USGS SIR 2018-5053 for estimating water-quality parameters at streamgage 03374100 White River at Hazleton, Indiana, 1973-2016
Pharmaceutical contaminant concentration and watershed geospatial land-use/land-cover data for small wadeable streams in the Piedmont ecoregion of the USA assessed during the Southeastern Region Stream Quality Assessment during April through June 2014
16S rRNA gene sequencing and E. coli for shorelines and the Grand Calumet River, Indiana, 2015, (version 2.0, July 2019)"
401,"Bathymetric Contours for Lake Minnewashta, Dickinson County, Iowa","Individual Target Data-Collection Points for the Main Portion of Prairie Rose Lake, Shelby County, Iowa
Prairie Rose Lake Boundary (polygon) - Edge of water at lake-surface elevations, 1227.9 ft above NAVD 88 for the main lake and 1229.6 ft above NAVD 88 upstream of the siltation dam
Bathymetry and Storage Capacity of Gillham Lake, Arkansas
Geodatabase containing bathymetric and LiDAR data for Norfork Lake, Arkansas-Missouri, 2015.
Elevation contour lines for Lake McConaughy, Nebraska"
402,Wind rose plots for the volcano: 290210 Ushishur,"Wind rose plots for the volcano: 290211 Srednii
Wind rose plots for the volcano: 290220 Rasshua
Wind rose plots for the volcano: 290260 Chirinkotan
Wind rose plots for the volcano: 290161 Milna
Wind rose plots for the volcano: 290808 Kuntomintar"
403,"SUTRA model used to evaluate groundwater availability in central Molokai, Hawaii","molo_ero - Erosion Hazard Intensity Level in the coastal zone of Molokai, Hawaii
kauai_sfl - Stream Flooding Hazard Intensity Level in the coastal zone of Kauai, Hawaii
k195hw.m77t and k195hw.h77t: MGD77T data and header files for single-beam bathymetry data for field activity K-1-95-HW in in Hawaii from 06/14/1995 to 06/18/1995
maui_geo - Geologic attributes of the coastal zone of Maui, Hawaii
MauiK_LT - Digital Shoreline Analysis System (DSAS) version 4.2 transects with long-term weighted linear regression rate calculations for the Maui Kihei region from Maalaea to Makena, Hawaii"
404,"points, transects, beach width: Barrier island geomorphology and shorebird habitat metrics at 50-m alongshore transects and 5-m cross-shore points: Rhode Island National Wildlife Refuge, RI, 2014","points, transects, beach width: Barrier island geomorphology and shorebird habitat metrics at 50-m alongshore transects and 5-m cross-shore points: Metompkin Island, VA, 2014
points, transects, beach width: Barrier island geomorphology and shorebird habitat metrics at 50-m alongshore transects and 5-m cross-shore points: Edwin B. Forsythe NWR, NJ, 2012
14BIM05_SSS_50cm_WGS84_UTM16N_Tile4: The 0.50-meter sample resolution of the side-scan sonar data collected in 2014 near Breton National Wildlife Refuge, Louisiana. This is tile four of four for this dataset.
2014aEUR""2015 Ocean Current and Pressure Time Series Data from the Upper Florida Keys: Crocker Reef, FL
DCpts, DTpts, SLpts: Dune crest, dune toe, and mean high water shoreline positions: Fisherman Island, VA, 2014"
405,"Flood-Inundation Shapefile for Blue River Near Red Bridge Road, Kansas City, Missouri, 2019","Flood-Inundation Depth Grids for the Dardenne Creek Backwater, St. Charles County, Missouri, 2019
Flood-Inundation Shapefile for Dardenne Creek, St. Charles County, Missouri, 2019
Flood-Inundation Depth Grids for Dardenne Creek, St. Charles County, Missouri, 2019
Shapefiles of the flood-inundation maps for the Meramec River at Fenton, Missouri, 2018
Depth grids of the flood-inundation maps for the Meramec River at Valley Park, Missouri, 2018"
406,"Specific Water Quality Sites for Emery County, Utah","Specific Water Quality Sites for Wasatch County, Utah
Specific Water Quality Sites for Sanjuan County, Utah
Hydrologic Data Sites for Cache County, Utah
Conservation Planning for the Colorado River in Utah - General Diversity Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Vegetation and River Cover Types"
407,"Airborne geophysical survey: Shenandoah Valley Dikes, Virginia","Airborne geophysical survey: Danville, Virginia
Airborne geophysical survey: Quantico Detail, Virginia
Airborne geophysical survey: Western Virginia (Includes Appalachian Strip)
Airborne geophysical survey: Southern West Virginia
Airborne geophysical survey: Central North Carolina"
408,Wind rose plots for the volcano: 334070 Galapagos Rift,"Wind rose plots for the volcano: 214070 Ghegam Ridge
Wind rose plots for the volcano: 271090 Paco-Maniayao
Wind rose plots for the volcano: 342060 Atitlan
Wind rose plots for the volcano: 335020 Hollister Ridge
Wind rose plots for the volcano: 283070 Yakedake"
409,CoSMoS (Coastal Storm Modeling System) Central California v3.1 flood depth and duration projections: average conditions in Santa Cruz County,"CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 flood-hazard depth and duration projections: average conditions in Los Angeles County
CoSMoS (Coastal Storm Modeling System) Central California v3.1 wave-hazard projections: average conditions in San Luis Obispo County
CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 wave-hazard projections: average conditions in Orange County
CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 flood-hazard depth and duration projections: 100-year storm in San Diego County
CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 flood-hazard depth and duration projections: 20-year storm in Santa Barbara County"
410,'Viva' native plant material data in support of restoration and conservation,"Data for: A conservation planning tool for greater sage-grouse using indices of species distribution, resilience, and resistance
Use of amphibian communities as indicators of restoration success
Monitoring Hawaiian Biodiversity: Pilot study to assess changes to Hawaii Island forest birds and their habitat - 2015 vegetation description dataset
Bryophyte Sampling Location
Data supporting the study of tree species' access to rock-derived nutrients, Tillamook State Forest, 2015"
411,"Geospatial Bathymetry Dataset and Elevation-Area-Capacity Table for Neversink Reservoir, 2014","Elevation Raster, Schoharie Reservoir, 2014
Echosounder Quality Assurance Points, Rondout Reservoir, 2013 to 2014
Elevation TIN, Neversink Reservoir, 2014
Myrtle Bend Substrate Enhancement Pilot Project Extent, Kootenai River near Bonners Ferry, ID, 2014
Lake Erie Collaborative Science and Monitoring Initiative 2014"
412,"2012 Digitized Shoreline for Breton Island, Louisiana(Geographic, NAD83)","2010 Digitized Shoreline for Breton Island, Louisiana (Geographic, NAD83)
1983 Digitized Shoreline for Breton Island, Louisiana (Geographic, NAD83)
Single-Beam Bathymetry Survey Tracklines Collected in 2012 from the Chandeleur Islands, Louisiana (U.S. Geological Survey Field Activity Number 12BIM04)
Single-Beam Bathymetric Data Collected in 2011 from the Chandeleur Islands, Louisiana (U.S. Geological Survey Field Activity Number 11BIM02)
Single-Beam Bathymetry Survey Tracklines Collected in 2011 from the Chandeleur Islands, Louisiana (U.S. Geological Survey Field Activity Number 11BIM02)"
413,Hydrologic Derivatives for Modeling and Analysis (HDMA) database -- Asia,"Slope from the Hydrologic Derivatives for Modeling and Analysis (HDMA) database -- Australasia
Coastwide Reference Monitoring System (CRMS) 2016 Site 3601 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 3639 land-water classification data
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: STATSGO2 Soil Characteristics, Hydrologic Groups
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: Topographic Wetness Index"
414,"Geologic structure-contours for the top of the Inyan Kara Formation in the Black Hills Area, South Dakota","Geologic structure-contours for the top of the Deadwood Formation in the Black Hills Area, South Dakota
Generalized thickness of the Madison Limestone and Englewood Formation, Black Hills, South Dakota.
Saturated thickness of the Minnelusa aquifer, Black Hills, South Dakota.
Selected wells and test holes used in structure-contour maps of the Inyan Kara Group, Minnekahta Limestone, Minnelusa Formation, Madison Limestone, and Deadwood Formation in the Black Hills Area, South Dakota
Tops file for the Niobrara interval of the Upper Cretaceous Cody Shale and associated strata in the Wind River Basin, Wyoming"
415,"Location of Sea-Floor Photographs Acquired During U.S. Geological Survey (USGS) Cruise 2013-005-FA in Block Island Sound (Geographic, WGS 84, 2013-005_299BOTPHOTOS)","Location of Sea-Floor Photographs Acquired During U.S. Geological Survey (USGS) Cruise 06005 (RAFA06005) in Great Round Shoal Channel, Offshore Massachusetts (RAF06005_BOTPHOTOS, Geographic)
SEABOSS Images from Block Island Sound Collected During U.S. Geological Survey (USGS) Cruise 2011-006-FA in JPEG Format
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) RV Rafael cruise 2011-006-FA in Block Island Sound off Southwestern Rhode Island (2011_006BISSEDDATA.SHP, Geographic, WGS84)
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) Cruise R/V RAFAEL 08012 in the Vicinity of Edgartown Harbor, Offshore Martha's Vineyard, Massachusetts (RAFA08012_SEDDATA.SHP)
Video transects of the sea floor on Stellwagen Bank during U.S. Geological Survey field activity 2014-055-FA, aboard the R/V Auk, September 23 and 24, 2014"
416,"Location and analysis information of vibracores collected by the U.S. Geological Survey within Apalachicola Bay, Florida, 2007 (APP-07_CoreLocations, points)","Surficial Sediment Data Collected During U.S. Geological Survey (USGS) RV Rafael cruise 2011-006-FA in Block Island Sound off Southwestern Rhode Island (2011_006BISSEDDATA.SHP, Geographic, WGS84)
G-2938 : Synthetic Seismogram Data for Correlation Between Seismic-Reflection Profiles and Well Data, Broward County, Florida
Point Shapefile of Interpreted Base of Mud Isopach Based on Seismic-Reflection Profiles Collected in Apalachicola Bay in 2006 from U.S. Geological Survey Cruise 06001 (BASEMUD_GEOG.SHP, Geographic, WGS84)
Synthetic Seismogram Data for Correlation Between Seismic-Reflection Profiles and Well Data, Broward County, Florida
2010-012-FA_MOSAIC_CI.tif - Composite sidescan-sonar mosaic collected by the U.S. Geological Survey in Woods Hole, MA offshore of the Gulf Islands, MS, 2010 (UTM Zone 16N GeoTIFF)"
417,"Water-levels along the Lower Platte and Elkhorn Rivers, Nebraska, 2016-2017","Synoptic sampling data from Illinois Gulch and Iron Springs near Breckenridge, Colorado, August 2016 and September 2017
Stream Temperature in the Northern Great Basin region of Southeastern Oregon, 2016-2019
Cross-Section Geometry and Sediment-Size Distribution Data from Muddy Creek and North Fork Gunnison River below Paonia Reservoir, western Colorado, 2017
Suspended-sediment concentrations, acoustic data, and linear regression models for the Lower Minnesota River, Mississippi River, and Lake Pepin, 2015-2017
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: PRISM Monthly Average Temperature (degrees Celsius), 2016-2017"
418,"Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0294 land-water matrix","Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0396 land-water matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0398 land-water matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0189 land-water matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0046 land-water matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0033 land-water matrix"
419,"In Vitro Bioaccessibility Extractions from Previously Collected Uranium Mineral Deposit Samples, 1971 and 1981, Southwestern U.S","Water-Quality and Borehole Geophysical Data Associated with Uranium Background Concentrations at the Homestake Superfund Site near Milan, New Mexico: 2016 (ver. 1.2)
Reductive dechlorination rate data for 4,4'-DDE in sediments of the Palos Verdes Shelf, CA (1981-2010)
Radiogenic strontium isotope data for non-native walleye otoliths collected from select areas of the Upper Colorado River Basin
Geochemical and mineralogical analyses of uranium ores from the Hack II and Pigeon deposits, solution-collapse breccia pipes, Grand Canyon region, Mohave and Coconino Counties, Arizona, USA
Magnetotelluric sounding data, stations 1 to 12, East-Central Tooele County, Utah, 2003"
420,"Diets of Silver Chub (Macrhybopsis storeriana) in western Lake Erie, 2014","Inter-vessel comparison of hydroacoustic fish density in central Lake Erie, 2014
Lake Trout Gonadosomatic Index and Histology Yellowstone Lake 2014
Lake Trout Fecundity Yellowstone Lake 2015
Nearshore Water Quality Collected on Lake Erie on June 24, 2015, August 11, 2015, and August 19, 2015
Updated CE-QUAL-W2 water-quality model for Madison Lake, Minnesota (2014 and 2016)"
421,Process-guided deep learning water temperature predictions: 6b Sparkling Lake detailed evaluation data,"Process-guided deep learning water temperature predictions: 5c All lakes historical prediction data
JPEG Images of seismic-reflection profiles collected in Lake Mohave in 2002
Well information and chloride concentration of water samples used to map the saltwater interface in the Model Land area of Miami-Dade County, Florida.
Dreissenid mussel eDNA results for streamgage water samples in the Columbia and Colorado River basin
Bathymetric Contours for Lake Minnewashta, Dickinson County, Iowa"
422,"Beach profile data for Maui, Hawaii","maui_tsu - Tsunami Hazard Intensity Level in the coastal zone of Maui, Hawaii
molo_ero - Erosion Hazard Intensity Level in the coastal zone of Molokai, Hawaii
MauiW_baseline - Offshore baseline used to cast shore-perpendicular transects for measurement of historical shoreline positions along the West Coast of Maui, Hawaii (Ukumehame to Honolua)
sand_geo - Geologic attributes of the coastal zone of Sand Island (Oahu), Hawaii
maui_geo - Geologic attributes of the coastal zone of Maui, Hawaii"
423,"Forward Looking Infrared (FLIR) Imaging in Fredericktown, Missouri, June 2018","Airborne magnetic and radiometric survey, southeast Missouri and western Illinois, 2018-2019
Site G06 Gasconade River Bathymetry at Structure A5215 on Missouri State Route D at Jerome, Missouri, June 2017
Airborne radiometric flight line data, southeast Missouri and western Illinois, 2018-2019
Site 21 Missouri River Bathymetry and Velocimetry Data at Structure A6288 on Missouri State Highway 19 at Hermann, Missouri, July 2011 through May 2017
Site 16 Missouri River Bathymetry and Velocimetry Data at Structure K0999 on Missouri State Highway 41 at Miami, Missouri, July 2011 through May 2017"
424,"Data supporting the study of increasing floodplain connectivity through urban stream restoration increases nutrient and sediment retention, 2012-2013","Model Input and Output for Hydrologic Simulations of the Upper Chattahoochee River Basin that Demonstrate Enhancements to the Precipitation Runoff Modeling System
Attributes for NHDPlus Version 2.1 Flowlines for the Conterminous United States: 2010 Public supply fresh water withdrawals, weighted by 2013 population served.
Corrosivity index and streamflow datasets used to evaluate trends in potentially corrosive source waters in the Nation's streams and rivers (output) (1992-2012)
Rio Grande 2012 Vegetation and Water Classification Data in the Big Bend Region
Suspended sediment and water temperature monitoring in the Sauk River, Washington, water years 2012-2016"
425,Wind rose plots for the volcano: 352011 Pululagua,"Wind rose plots for the volcano: 351061 Sotara
Wind rose plots for the volcano: 354004 Andahua-Orcopampa
Wind rose plots for the volcano: 261121 Malintang
Wind rose plots for the volcano: 251011 Boisa
Wind rose plots for the volcano: 311250 Uliaga"
426,Wind rose plots for the volcano: 268063 Moti,"Wind rose plots for the volcano: 268072 Amasing
Wind rose plots for the volcano: 268020 Tobaru
Wind rose plots for the volcano: 261270 Suoh
Wind rose plots for the volcano: 261251 Ranau
Wind rose plots for the volcano: 268030 Ibu"
427,"Enhanced Grayscale TIFF Image of the 2-m Sidescan-Sonar Data From National Oceanic and Atmospheric Administration (NOAA) Survey H11346 of the Sea Floor in the Vicinity of Edgartown Harbor, Massachusetts (H11346_2MSSS_GEO.TIF, Geographic, WGS84)","0.5-m Stretched Grayscale Image of the Sidescan-Sonar Data From National Oceanic and Atmospheric Administration (NOAA) Survey H11077 of the Sea Floor in the Vicinity of Woods Hole, Massachusetts (H11077_SSS100_UTM19.TIF, UTM Zone 19)
Color Shaded-Relief GeoTIFF Image Showing the 2-m Bathymetry Generated from National Oceanic and Atmospheric Administration (NOAA) Survey H11996 in Rhode Island Sound (H11996_MB2M_GEO.TIF, Geographic, WGS84)
Survey lines along which interferometric and multibeam bathymetric sonar data were collected by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration offshore of Massachusetts between Duxbury and Hull (DH_BathyTrackline shapefile, Geographic, WGS84)
Color Shaded-Relief GeoTIFF Image Showing the 2-m Bathymetry Generated from National Oceanic and Atmospheric Administration (NOAA) Survey H12299 in Block Island Sound (UTM Zone 19, NAD 83, H12299_MB2M_UTM.TIF)
Color-shaded relief GeoTIFF image of interferometric sonar data collected by the USGS within Red Brook Harbor, MA, 2009 (RB_BathyShadedRelief_1m, 1-meter cell size)"
428,Digital Shoreline Analysis System version 4.3 shoreline intersection points used to calculate long-term shoreline change statistics for the South Cape Cod coastal region from Stage Harbor Light in Chatham to Nobska Point in Woods Hole (SouthCapeCod_intersects_LTw.shp),"Digital Shoreline Analysis System version 4.3 transects and long-term linear regression shoreline change statistics for all data available within the South Shore coastal region from Hewitts Cove in Hingham to the Cape Cod Canal in Sandwich (SouthShore_transects_rates_LTw.shp)
Digital Shoreline Analysis System version 4.3 shoreline intersection points used to calculate short-term (Linear Regression Rate) shoreline change statistics for the South Cape Cod coastal region from Stage Harbor Light in Chatham to Nobska Point in Woods Hole (SouthCapeCod_intersects_STlr.shp)
Onshore/offshore baseline for the Outer Cape Cod coastal region generated to calculate shoreline change rates from Long Point in Provincetown to Monomoy Island (OuterCapeCod_baseline.shp)
2014 profile-derived mean high water shorelines of the south shore of Cape Cod, MA used in shoreline change analysis
Digital Shoreline Analysis System version 4.1 Transects with Long-Term Rate Calculations for the Delmarva North region from Cape Henlopen, Delaware to the southern end of Assateague Island, Virginia (DelmarvaN_LT.shp)"
429,"Time-lapse photography of an active coastal-bluff landslide, Mukilteo, Washington, August 2015 - May 2016","Inventory of landslides triggered by rainfall on 16-17 January 2019, Los Angeles County, CA
Multichannel minisparker seismic-reflection data of USGS field activity 2016-616-FA collected in the Catalina Basin offshore southern California in February 2016
Video data files to accompany USGS OFR 2015-1142--Assessment of existing and potential landslide hazards resulting from the April 25, 2015 Gorkha, Nepal earthquake sequence
Reflection point navigation for multi-channel streamer seismic-reflection profiles collected in 2015 by the U.S. Geological Survey along the Delmarva Peninsula, MD and VA (Esri point shapefile, GCS WGS 84)
Suspended sediment concentration and loads for the South Fork Nooksack River at Saxon Road, Washington, 2010-2016 water years"
430,R/V GYRE cruise G1-99-GM (99002) multi channel seismic tracklines (GOM99LMCS.SHP),"High-Resolution Seismic-Reflection Boomer Profiles in SEG-Y and JPEG Formats From Cruise RAFA08034 off Edgartown, Massachusetts (08034_BOOMERPROFILES)
Comparison with the 1999 Global Seismic Hazard Assessment (GSHAP) model
Seismic-Hazard Maps for Alaska and the Aleutian Islands: 1HZ250
Multichannel sparker and minisparker seismic-reflection data of USGS field activity 2014-645-FA collected in the outer Santa Barbara Channel, California, between 2014-11-12 to 2014-11-25 (ver. 2.0, March 2020)
Location of MMS (Minerals Management Service) vibracores from offshore northern Dare County, North Carolina (mms_cores.shp, geographic, WGS 84)"
431,Attributed North American Bat Monitoring Program (NABat) Master Sample and Grid-Based Sampling Frame: Continental United States,"National Land Cover Database (NLCD) 2006 Land Cover Conterminous United States
Chirp shotpoint navigation from USGS cruise 2003-003-FA along the inner continental shelf of northern North Carolina (isc2003003_shots.shp)
Chirp navigation tracklines from USGS cruise 2002-015-FA from Pamlico Sound, North Carolina (bbc2002015_tracklines.shp)
Airborne geophysical survey: Massachusetts Coop West (Includes part of Rowe ARMS '59)
LANDFIRE Remap Fuel Characteristic Classification System (FCCS) Guam Northern Mariana Islands"
432,"Topographic Survey Data of Fountain Creek between Colorado Springs and the Confluence of Fountain Creek at the Arkansas River, Colorado, 2016","Cross-Section Geometry and Sediment-Size Distribution Data from Muddy Creek and North Fork Gunnison River below Paonia Reservoir, western Colorado, 2017
Geophysical Data from the 2014 Minute 319 Pulse Flow in the Colorado River Delta
Network-adjusted gravity data from the 2014 Minute 319 Pulse Flow in the Colorado River Delta
USGS 2015 JSankey Riparian Vegetation and Colorado River
Synoptic sampling data from Illinois Gulch and Iron Springs near Breckenridge, Colorado, August 2016 and September 2017"
433,Wind rose plots for the volcano: 300080 Opala,"Wind rose plots for the volcano: 300053 Khodutka
Wind rose plots for the volcano: 300082 Tolmachev Dol
Wind rose plots for the volcano: 300084 Barkhatnaya Sopka
Wind rose plots for the volcano: 300600 Alngey
Wind rose plots for the volcano: 283160 Bandaisan"
434,"GIS representation of coal-bearing areas in North, Central, and South America","GIS representation of coal-bearing areas in Africa
Final unioned polygon coverage used in coal resource calculations, San Juan Basin, CO and NM (sjbfing)
Boundary for Deadman coal zone in the Jim Bridger area (jbbndg.shp)
Yampa coal field combined leased areas and mined-out areas, Colorado Plateau (yam*leasg)
Pond Creek Coal Zone County Statistics (Geology) in Kentucky, West Virginia, and Virginia"
435,"Modified Mercalli Intensity based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration, with 1-percent probability of exceedance in 1 year","Modified Mercalli Intensity based on peak ground acceleration, with a 10% probability of exceedance in 50 years
Hazard curve data for annual rate of exceedance versus 0.2-second spectral response acceleration
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: 30 Year Average (1961-1990) of Maximum Monthly Number of Days of Measurable Precipitation
2017 hazard curve data for annual rate of exceedance versus peak horizontal acceleration or horizontal spectral response acceleration for 0.2- or 1.0-second periods, for the full seismicity catalog and a b-value of 1.5
Chance of potentially minor-damage ground shaking in 2018 based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration for the Western United States"
436,"EAARL-B Submerged Topography-Saint Croix, U.S. Virgin Islands, 2014","EAARL-B Submerged TopographyaEUR""Saint Thomas, U.S. Virgin Islands, 2014
Uncalibrated EAARL-B Submerged Topography--Fort Lauderdale, Florida, 2014 (GEOID12A)
Calibrated EAARL-B Submerged Topography--Fort Lauderdale, Florida, 2014 (WGS84)
shoreline, inletLines: Shoreline polygons and tidal inlet delineations: Monomoy Island, MA, 2014
Elevation TIN, Neversink Reservoir, 2014"
437,"2002 Water-Table Contours of the Mojave River and the Morongo Ground-Water Basins, San Bernardino County, California","1998 Water-Table Contours of the Mojave River and the Morongo Ground-Water Basins, San Bernardino County, California
1992 Water-Table Contours of the Mojave River Ground-Water Basin, San Bernardino County, California.
Reference springs in California for the regional ground-water potential map by Bedinger and Harrill (2004), Death Valley regional ground-water flow system, Nevada and California
2014 Water-Table Contours of the Mojave River and the Morongo Groundwater Basins, San Bernardino County, California (ver. 1.2, September 2020)
Study area boundary for the Death Valley regional ground-water flow system, Nevada and California"
438,"Airborne geophysical survey: Devils Postpile, California","Airborne geophysical survey: Mokelume, California
Airborne geophysical survey: Wendel, California
Airborne geophysical survey: La Panza Range, California
Airborne geophysical survey: Martis Creek, California
Airborne geophysical survey: Crescent City, California"
439,"Seismotectonic maps in the vicinity of the lower Wabash Valley, Illinois, Indiana, and Kentucky - Digital Spatial Database: Wells with structural control","Seismotectonic maps in the vicinity of the lower Wabash Valley, Illinois, Indiana, and Kentucky - Digital Spatial Database: Locations of stress orientations
Seismotectonic maps in the vicinity of the lower Wabash Valley, Illinois, Indiana, and Kentucky - Digital Spatial Database: Surface faults in Paducah
Model Archive of the flood-inundation maps for North Fork Salt Creek at Nashville, Indiana
USGS National and Global Oil and Gas Assessment Project - Michigan Basin Province, Collingwood Shale and Utica Shale Formations Assessment Unit Boundaries and Assessment Input Data Forms
Digital data sets that describe aquifer characteristics of the Central Oklahoma aquifer in central Oklahoma"
440,"Individual Target Data-Collection Points for the Main Portion of Prairie Rose Lake, Shelby County, Iowa","Bathymetric Contours for Lake Minnewashta, Dickinson County, Iowa
Prairie Rose Lake Boundary (polygon) - Edge of water at lake-surface elevations, 1227.9 ft above NAVD 88 for the main lake and 1229.6 ft above NAVD 88 upstream of the siltation dam
Geodatabase containing bathymetric and LiDAR data for Norfork Lake, Arkansas-Missouri, 2015.
Elevation contour lines for Lake McConaughy, Nebraska
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P1 from 1995"
441,Wind rose plots for the volcano: 351061 Sotara,"Wind rose plots for the volcano: 352011 Pululagua
Wind rose plots for the volcano: 341001 Pinacate
Wind rose plots for the volcano: 251011 Boisa
Wind rose plots for the volcano: 261121 Malintang
Wind rose plots for the volcano: 342060 Atitlan"
442,Coastwide Reference Monitoring System (CRMS) 2015 Site 1409 Land-Water Classification Data,"Coastwide Reference Monitoring System (CRMS) 2015 Site 1446 Land-Water Classification Data
Coastwide Reference Monitoring System (CRMS) 2015 Site 0589 Land-Water Classification Data
Coastwide Reference Monitoring System (CRMS) 2015 Site 0501 Land-Water Classification Data
Coastwide Reference Monitoring System (CRMS) 2015 Site 0560 Land-Water Classification Data
Coastwide Reference Monitoring System (CRMS) 2015 Site 0571 Land-Water Classification Data"
443,"A comparison of four pore water sampling methods for mixed metals and dissolved organic carbon, and implications for sediment toxicity evaluations-Data","Quality-Control Data for Volatile Organic Compounds and Environmental Sulfur-Hexafluoride Data for Groundwater Samples from the Williston Basin, USA
Field blank and field replicate datasets for inorganic and organic compounds collected for the National Water Quality Network, water years 2013-17
Table of electron probe microanalyses of native copper and sulfide minerals from the White Pine sediment-hosted copper deposit, Michigan
Observed, predicted, and misclassification error data for observations in the training datset for nitrate and arsenic concentrations in basin-fill aquifers in the Southwest Principal Aquifers study.
Dreissenid mussel eDNA results for streamgage water samples in the Columbia and Colorado River basin"
444,Conservation Planning for the Colorado River in Utah - Potential for Natural Recovery Model Model Output Data for Colorado River in Utah,"Conservation Planning for the Colorado River in Utah - General Diversity Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Riparian Understory Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Density of Native Species for Potential for Natural Recovery Model
Conservation Planning for the Colorado River in Utah - Vegetation and River Cover Types
Conservation Planning for the Colorado River in Utah - Overbank flow 2011 for Potential for Natural Recovery Model"
445,Airborne geophysical survey: New Mexico Coop Area A,"Airborne geophysical survey: Sabinoso, New Mexico
Airborne geophysical survey: Chama, New Mexico
Geologic map of the Tetilla Peak quadrangle, Santa Fe and Sandoval Counties, New Mexico
Digital geologic map of the Roswell Resource Area, New Mexico
Airborne geophysical survey: Nevada Coop Area 2"
446,"Airborne geophysical survey: Granite Peak, California","Airborne geophysical survey: La Panza Range, California
Airborne geophysical survey: Wendel, California
Airborne geophysical survey: Kern (Domeland), California
Airborne geophysical survey: Martis Creek, California
Airborne geophysical survey: Mokelume, California"
447,"Stream Segments for the southern Guam watershed model, PRMS_2016","Coastwide Reference Monitoring System (CRMS) 2016 Site 3296 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0148 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0135 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0065 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0047 land-water classification data"
448,Surveying butterfly populations of prairie restorations in South Louisiana,"Effects of wind-energy facilities on breeding grassland bird distributions - data release
Monitoring Hawaiian Biodiversity: Pilot study to assess changes to Hawaii Island forest birds and their habitat - 1977 vegetation structure dataset
Roadside Survey Data from southeastern Arizona and New Mexico for Grasshopper Sparrow and other grassland Birds 2003 to 2005
Multibeam Echosounder, Reson T-20P tracklines, USGS field activity 2017-003-FA, Mississippi River Delta front offshore of southeastern Louisiana (Esri polyline shapefile, GCS WGS 84)
Monitoring Hawaiian Biodiversity: Pilot study to assess changes to Hawaii Island forest birds and their habitat - 2015 vegetation description dataset"
