,Name of the dataset,similar
625,BLM REA COP 2010 Gunnison's Prairie Dog: Current and Near-Term Status and Long-Term Potential For Change,"BLM REA COP 2010 White-Tailed Prairie Dog: Current and Near-Term Status and Long-Term Potential For Change
BLM REA COP 2010 Potential Current Distribution of Gunnison's Prairie Dog
BLM REA COP 2010 Herd Management Areas: Current and Near-Term Status and Long-Term Potential For Change
BLM REA COP 2010 Gunnison's Prairie Dog Disturbance
BLM REA COP 2010 Mule Deer: Current and Near-Term Status and Long-Term Potential For Change"
626,BLM REA COP 2010 Near-Term Probability of Naturally-Caused Fire Occurrence,"BLM REA COP 2010 Current Probability of Naturally-Caused Fire Occurrence
BLM REA COP 2010 Near-Term Probability of Human-Caused Fire Occurrence
BLM REA COP 2010 Long-Term Probability of Naturally-Caused Fire Occurrence
BLM REA COP 2010 Current Probability of Human-Caused Fire Occurrence
BLM REA COP 2010 Long-Term Probability of Human-Caused Fire Occurrence"
627,BLM REA COP 2010 Wildland Fire Perimeters (2001),"BLM REA COP 2010 Wildland Fire Perimeters (2002)
BLM REA COP 2010 Wildland Fire Perimeters (2000)
BLM REA COP 2010 Wildland fire perimeters (2000 - 2010)
BLM REA COP 2010 LANDFIRE - Disturbance (2001)
BLM REA COP 2010 Wildland Fire Perimeters (2003)"
628,BLM REA COP 2010 Early Season Invasives,"BLM REA COP 2010 Ecoregion Mask Poly
BLM REA COP 2010 BLM Designated ACECs
BLM REA COP 2010 Potential Current Distribution of Flannelmouth Sucker
BLM REA COP 2010 Current Predicted Distribution of Major Invasive Vegetation Species
BLM REA COP 2010 SMA Poly"
629,BLM REA COP 2010 Wildland Fire Perimeter Years 2000 2009 Poly,"BLM REA COP 2010 Wildland fire perimeters (2000 - 2010)
BLM REA COP 2010 Wildland Fire Perimeters (2000)
BLM REA COP 2010 Wildland Fire Perimeters (2001)
BLM REA COP 2010 Wildland Fire Perimeters (2008)
BLM REA COP 2010 Wildland Fire Perimeters (2009)"
630,BLM REA COP 2010 U.S. Cities,"BLM REA COP 2010 Urban Areas (US Census Bureau)
BLM REA COP 2010 U.S. Census Urbanized Areas
BLM REA COP 2010 AT N Urban DN HUC5 poly
BLM REA COP 2010 U.S. Major Highways
BLM REA COP 2010 USA Major Cities pt Inside COP"
631,BLM REA MIR 2011 DIS C 2007 ADS Spruce Budworm,"BLM REA MIR 2011 DIS C 2006 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2008 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2009 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2005 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2003 ADS Spruce Budworm"
632,BLM REA MIR 2011 Potential risk of Russian Knapweed in the Middle Rockies Ecoregion,"BLM REA NWP 2011 Potential Risk of Russian Knapweed in the Northwest Plains Ecoregion
BLM REA MIR 2011 Potential Risk of Diffuse Knapweed in the Middle Rockies Ecoregion
BLM REA MIR 2011 Potential Risk of Spotted Knapweed in the Middle Rockies Ecoregion
BLM REA MIR 2011 Potential risk of Tamarisk (Saltcedar) in the Middle Rockies Ecoregion
BLM REA MIR 2011 Potentially suitable temperature ranges for Russian Knapweed in the Middle Rockies Ecoregion"
633,BLM REA MIR 2011 Vegetation types potentially suitable for Leafy Spurge,"BLM REA NWP 2011 Vegetation types potentially suitable for Leafy Spurge
BLM REA MIR 2011 Elevations potentially suitable for Leafy Spurge
BLM REA NWP 2011 Elevations potentially suitable for Leafy Spurge
BLM REA MIR 2011 Potentially suitable soil types for Leafy Spurge
BLM REA NWP 2011 Potentially suitable soil types for Leafy Spurge"
634,BLM REA MIR 2011 DIS C 2009 ADS Spruce Budworm,"BLM REA MIR 2011 DIS C 2008 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2010 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2007 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2006 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2005 ADS Spruce Budworm"
635,BLM REA MIR 2011 DIS C 2005 ADS Mountain Pine Beetle,"BLM REA MIR 2011 DIS C 2004 ADS Mountain Pine Beetle
BLM REA MIR 2011 DIS C 2006 ADS Mountain Pine Beetle
BLM REA MIR 2011 DIS C 2003 ADS Mountain Pine Beetle
BLM REA MIR 2011 DIS C 2007 ADS Mountain Pine Beetle
BLM REA MIR 2011 DIS C 2001 ADS Mountain Pine Beetle"
636,BLM REA MIR 2011 DIS C 2002 ADS Subalpine Fir Decline,"BLM REA MIR 2011 DIS C 2001 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2003 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2004 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2005 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2006 ADS Subalpine Fir Decline"
637,BLM REA MIR 2011 AG C Cold Water Fish Threats Steelhead,"BLM REA MIR 2011 AG C Cold Water Fish Threats Ag Use
BLM REA MIR 2011 AG C Cold Water Fish Threats Chinook
BLM REA MIR 2011 AG C Cold Water Fish Threats Westslope Cutthroat
BLM REA MIR 2011 AG C Cold Water Fish Threats TRI sites
BLM REA MIR 2011 AG C Cold Water Fish Threats Riparian Corridor AG Use"
638,BLM REA MIR 2011 Elevations potentially suitable for Leafy Spurge,"BLM REA NWP 2011 Elevations potentially suitable for Leafy Spurge
BLM REA MIR 2011 Vegetation types potentially suitable for Leafy Spurge
BLM REA NWP 2011 Vegetation types potentially suitable for Leafy Spurge
BLM REA MIR 2011 Potentially suitable soil types for Leafy Spurge
BLM REA NWP 2011 Potentially suitable soil types for Leafy Spurge"
639,BLM REA MIR 2011 Future Oil Production Risk,"BLM REA NWP 2011 Future Oil Risk
BLM REA MIR 2011 Future Natural Gas Risk
BLM REA NWP 2011 Future Natural Gas Risk
BLM REA MIR 2011 Future Fossil Fuels Risk
BLM REA COP 2010 Intermountain West Oil and Gas Potential Anticipated"
640,BLM REA MIR 2011 Vegetation Condition Class (120m),"BLM REA NWP 2011 Vegetation Condition Class (120m)
BLM REA MIR 2011 EI Natural Vegetation
BLM REA NWP 2011 Ecoregion
BLM REA MIR 2011 Ecoregion Boundary
BLM REA NWP 2011 Ecoregion Boundary"
641,BLM REA MIR 2011 GAP Landcover - Forest Woodlands,"BLM REA NWP 2011 Evergreen Forests in the Nothwest Plains Ecoregion
BLM REA COP 2010 USFS Ashley National Forest Grazing Allotments
BLM REA COP 2010 USFS Kaibab National Forest Grazing Allotments
BLM REA COP 2010 USFS Ashley National Forest Recreation Sites
BLM REA MIR 2011 EI Natural Vegetation"
642,BLM REA MIR 2011 Mountain Pine Beetle Primary Host Forest Types,"BLM REA MIR 2011 Douglas-Fir Beetle Primary Host Forest Types
BLM REA MIR 2011 Mountain Pine Beetle Forest Mortality Index
BLM REA MIR 2011 Spruce Beetle Forest Types
BLM REA MIR 2011 Western Spruce Budworm Primary Host Forest Types
BLM REA MIR 2011 Douglas-Fir Beetle Forest Mortality Index"
643,BLM REA MIR 2011 DIS C 2009 ADS Subalpine Fir Decline,"BLM REA MIR 2011 DIS C 2008 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2010 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2007 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2006 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2005 ADS Subalpine Fir Decline"
644,BLM REA MIR 2011 AG C Sockeye HUC12 poly,"BLM REA MIR 2011 AG C Grayling HUC12 poly
BLM REA MIR 2011 HUC 12 poly
BLM REA MIR 2011 AG C Chinook HUC12 poly
BLM REA MIR 2011 AG C Steelhead HUC12 poly
BLM REA MIR 2011 Sockeye Distribution"
645,BLM REA MIR 2011 USGS RegCM3 Climate Models,"BLM REA MIR 2011 Current USGS RegCM3 Climate Models
BLM REA NWP 2011 USGS RegCM3 Climate Models
BLM REA MIR 2011 Long term USGS RegCM3 Climate Models
BLM REA MIR 2011 PRISM Precipitation (MIR)
BLM REA NWP 2011 USGS RegCM3 Climate Models Long Term"
646,BLM REA MIR 2011 Potentially suitable soil types for Russian Knapweed,"BLM REA NWP 2011 Potentially suitable soil types for Russian Knapweed
BLM REA MIR 2011 Vegetation types potentially suitable for Russian Knapweed
BLM REA MIR 2011 Elevations potentially suitable for Russian Knapweed
BLM REA NWP 2011 Vegetation types potentially suitable for Russian Knapweed
BLM REA NWP 2011 Elevations potentially suitable for Russian Knapweed"
647,BLM REA MIR 2011 Elevations Potentially Suitable for Houndstongue,"BLM REA NWP 2011 Elevations Potentially Suitable for Houndstongue
BLM REA MIR 2011 Vegetation types potentially suitable for Houndstongue
BLM REA NWP 2011 Vegetation types potentially suitable for Houndstongue
BLM REA MIR 2011 Precipitation values potentially suitable for Houndstongue
BLM REA MIR 2011 Potentially suitable temperature ranges for Houndstongue in the Middle Rockies Ecoregion"
648,BLM REA MIR 2011 wpbr risk,"BLM REA MIR 2011 NWP PLSS Sec
BLM REA MIR 2011 NWP PLSS Twp
BLM REA MIR 2011 EI Development Layer
BLM REA MIR 2011 hm ftprt
BLM REA MIR 2011 freq sev"
649,BLM REA MIR 2011 Current status for American Marten in Middle Rockies Ecoregion,"BLM REA MIR 2011 Current Status by 6th Level HUC for American Marten in Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status for Greater Sage-Grouse in Middle Rockies Ecoregion
BLM REA MIR 2011 shublands in middle rockies ecoregion
BLM REA MIR 2011 Distribution Model for Greater Sage-Grouse in Middle Rockies Ecoregion
BLM REA COP 2010 Current Distribution of the Sage-grouse in North America - Colorado Plateau ecoregion"
650,BLM REA MIR 2011 Potential Threat to Grizzly Bear based on road density,"BLM REA MIR 2011 Potential Disturbance Risk to Grizzly Bear based on Distance to human features
BLM REA MIR 2011 Potential Threat based on proximity to roads for Canada Lynx in Middle Rockies Ecoregion
BLM REA MIR 2011 Current status of Middle Rockies Ecoregion for Grizzly Bear
BLM REA MIR 2011 Potential Threat based on proximity to roads for wolverine
BLM REA MIR 2011 Potential Winter Food Source For Grizzly Bear based on Whitebark Pine seed availability"
651,BLM REA MIR 2011 Current status by 6th Level HUC for Grizzly Bear in the Middle Rockies Ecoregion,"BLM REA MIR 2011 Current status of Middle Rockies Ecoregion for Grizzly Bear
BLM REA MIR 2011 Current status by 6th Level HUC for wolverine in the Middle Rockies Ecoregion
BLM REA MIR 2011 Suitable Habitat Blocks for Grizzly Bear
BLM REA MIR 2011 Elk rating by 6th level HUC in the Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status by 6th Level HUC for Canada Lynx in Middle Rockies Ecoregion"
652,BLM REA MIR 2011 fragmentation of shrublands in middle rockies ecoregion,"BLM REA MIR 2011 fragmentation of grasslands in middle rockies ecoregion
BLM REA NWP 2011 fragmentation of grassland in the northwest plains ecoregion
BLM REA MIR 2011 Rating based on fragmentation of suitable habitat for American Marten in Middle Rockies Ecoregion
BLM REA MIR 2011 Riparian areas in middle rockies ecoregion
BLM REA MIR 2011 Subalpine fir Decline Primary Host Forest Types"
653,BLM REA MIR 2011 Vegetation types potentially suitable for Diffuse Knapweed,"BLM REA NWP 2011 Vegetation types potentially suitable for Diffuse Knapweed
BLM REA MIR 2011 Elevations potentially suitable for Diffuse Knapweed
BLM REA MIR 2011 Vegetation types potentially suitable for Spotted Knapweed
BLM REA NWP 2011 Elevations potentially suitable for Diffuse Knapweed
BLM REA MIR 2011 Potentially suitable soil types for Diffuse Knapweed"
654,BLM REA MIR 2011 DIS C 2010 ADS Subalpine Fir Decline,"BLM REA MIR 2011 DIS C 2009 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2008 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2007 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2006 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2001 ADS Subalpine Fir Decline"
655,BLM REA MIR 2011 PRISM Precipitation (MIR),"BLM REA NWP 2011 PRISM Precipitation
BLM REA MIR 2011 NWP PLSS Twp
BLM REA MIR 2011 USGS RegCM3 Climate Models
BLM REA NWP 2011 MIR Fed lands poly
BLM REA MIR 2011 NWP Fed lands poly"
656,BLM REA MIR 2011 Current Status by 6th Level HUC for Greater Sage-Grouse in Middle Rockies Ecoregion,"BLM REA NWP 2011 Current Status by 6th Level HUC for Greater Sage-Grouse in Northwest Plains Ecoregion
BLM REA MIR 2011 current status by 6th level HUC for shrublands in middle rockies ecoregion
BLM REA MIR 2011 current status by 6th level HUC for grasslands in the middle rockies ecoregion
BLM REA MIR 2011 Currents status by 6th Level HUC for Evergreen Forests in Middle Rockies Ecoregion
BLM REA MIR 2011 current status by 6th level HUC for deciduous forests in middle rockies ecoregion"
657,BLM REA MIR 2011 DIS C 2006 ADS,"BLM REA NWP 2011 DIS C 2006 ADS
BLM REA NWP 2011 FI C 2006 MTBS
BLM REA MIR 2011 DIS C 2005 ADS
BLM REA MIR 2011 DIS C 2007 ADS
BLM REA NWP 2011 DIS C 2005 ADS"
658,BLM REA MIR 2011 Vegetation types potentially suitable for Russian Knapweed,"BLM REA NWP 2011 Vegetation types potentially suitable for Russian Knapweed
BLM REA MIR 2011 Elevations potentially suitable for Russian Knapweed
BLM REA NWP 2011 Elevations potentially suitable for Russian Knapweed
BLM REA MIR 2011 Potentially suitable soil types for Russian Knapweed
BLM REA NWP 2011 Potentially suitable soil types for Russian Knapweed"
659,BLM REA MIR 2011 NWP BLM FieldOffices poly,"BLM REA NWP 2011 MIR BLM FieldOffices poly
BLM REA MIR 2011 NWP PLSS Twp
BLM REA NWP 2011 MIR Fed lands poly
BLM REA MIR 2011 NWP PLSS Sec
BLM REA MIR 2011 NWP Fed lands poly"
660,BLM REA MIR 2011 Riparian areas in middle rockies ecoregion,"BLM REA MIR 2011 shublands in middle rockies ecoregion
BLM REA MIR 2011 grasslands in the middle rockies ecoregion
BLM REA MIR 2011 Current Status Grasslands in middle rockies ecoregion
BLM REA MIR 2011 Middle Rockies Anthropogenic layer
BLM REA NWP 2011 Riparian areas in the Northwest Plains Ecoregion"
661,BLM REA MIR 2011 HUC 12 poly,"BLM REA MIR 2011 HUC 10 poly
BLM REA MIR 2011 freq sev
BLM REA MIR 2011 vcc
BLM REA MIR 2011 AG C Grayling HUC12 poly
BLM REA MIR 2011 ge maxent"
662,BLM REA MIR 2011 6th Level HUC dataset threat assesment values Percent Natural Landcover for Riparian areas in the Middle Rockies Ecoregion,"BLM REA NWP 2011 6th Level HUC dataset threat assesment values Percent Natural Landcover for Riparian areas in the Northwest Plains Ecoregion
BLM REA MIR 2011 6th Level HUC dataset threat assesment values for Riparian areas in the Middle Rockies Ecoregion
BLM REA MIR 2011 6th Level HUC dataset threat assesment values Cropland for Riparian areas in the Middle Rockies Ecoregion
BLM REA NWP 2011 6th Level HUC dataset threat assesment values for Riparian areas in the Northwest Plains Ecoregion
BLM REA NWP 2011 6th Level HUC dataset threat assesment values Percent Cropland for Riparian areas in the Northwest Plains Ecoregion"
663,BLM REA MIR 2011 DIS C 2002 ADS Spruce Budworm,"BLM REA MIR 2011 DIS C 2001 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2003 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2004 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2005 ADS Spruce Budworm
BLM REA MIR 2011 DIS C 2006 ADS Spruce Budworm"
664,BLM REA MIR 2011 Five Needle Pine Vegetation Condition Class,"BLM REA MIR 2011 five needle pine distribution
BLM REA MIR 2011 Five Needle Pine Current status
BLM REA MIR 2011 Five Needle Pine rating based on size of patches
BLM REA MIR 2011 Five Needle Pine current status by 6th level HUC
BLM REA MIR 2011 Five Needle Pine Future status"
665,BLM REA MIR 2011 DV C RR Lines ln,"BLM REA MIR 2011 mirlf
BLM REA MIR 2011 freq sev
BLM REA MIR 2011 hm ftprt
BLM REA MIR 2011 ge maxent
BLM REA NWP 2011 MIR PLSS Sec"
666,BLM REA MIR 2011 Vegetation potentially suitable for Yellow Toadflax,"BLM REA NWP 2011 Vegetation potentially suitable for Yellow Toadflax
BLM REA MIR 2011 Elevations potentially suitable for Yellow Toadflax
BLM REA NWP 2011 Elevations potentially suitable for Yellow Toadflax
BLM REA MIR 2011 Potentially suitable soil types for Yellow Toadflax
BLM REA NWP 2011 Potentially suitable soil types for Yellow Toadflax"
667,BLM REA MIR 2011 DIS C 2006 ADS Subalpine Fir Decline,"BLM REA MIR 2011 DIS C 2005 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2007 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2004 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2002 ADS Subalpine Fir Decline
BLM REA MIR 2011 DIS C 2003 ADS Subalpine Fir Decline"
668,BLM REA MIR 2011 RegCM3 Change in November - February Temperature (Current to Future),"BLM REA NWP 2011 RegCM3 Change in November - February Temperature (Current to Future)
BLM REA MIR 2011 RegCM3 Change in November - February Precipitation (Current to Future)
BLM REA NWP 2011 RegCM3 Change in November - February Precipitation (Current to Future)
BLM REA NWP 2011 RegCM3 November - February Temperature (2050-2069)
BLM REA NWP 2011 RegCM3 November - February Precipitation (2050-2069)"
669,BLM REA MIR 2011 current status by 6th level HUC for grasslands in the middle rockies ecoregion,"BLM REA NWP 2011 current status by 6th level HUC for grasslands in the nortwest plains ecoregion
BLM REA MIR 2011 Current Status by 6th Level HUC for Greater Sage-Grouse in Middle Rockies Ecoregion
BLM REA MIR 2011 current status by 6th level HUC for shrublands in middle rockies ecoregion
BLM REA NWP 2011 Current Status by 6th Level HUC for Greater Sage-Grouse in Northwest Plains Ecoregion
BLM REA MIR 2011 Current Status Grasslands in middle rockies ecoregion"
670,BLM REA MIR 2011 DIS C 2000 ADS,"BLM REA NWP 2011 DIS C 2000 ADS
BLM REA NWP 2011 FI C 2000 MTBS
BLM REA MIR 2011 DIS C 1999 ADS
BLM REA MIR 2011 DIS C 2001 ADS
BLM REA NWP 2011 DIS C 1999 ADS"
671,BLM REA MIR 2011 Precipitation values potentially suitable for Leafy Spurge,"BLM REA NWP 2011 Precipitation values potentially suitable for Leafy Spurge
BLM REA NWP 2011 Elevations potentially suitable for Leafy Spurge
BLM REA MIR 2011 Elevations potentially suitable for Leafy Spurge
BLM REA NWP 2011 Vegetation types potentially suitable for Leafy Spurge
BLM REA MIR 2011 Precipitation values potentially suitable for Diffuse Knapweed"
672,BLM REA MIR 2011 NWP AdminUnitOff Pts,"BLM REA NWP 2011 MIR AdminUnitOff Pts
BLM REA MIR 2011 NWP PLSS Sec
BLM REA NWP 2011 MIR PLSS Sec
BLM REA NWP 2011 recl siz
BLM REA NWP 2011 MIR PLSS Twp"
673,BLM REA MIR 2011 MIR and NWP State Boundaries,"BLM REA NWP 2011 State Boundaries for MIR and NWP
BLM REA MIR 2011 State Boundaries
BLM REA MIR 2011 State Boundaries Main
BLM REA MIR 2011 NWP HUC10 Boundary
BLM REA NWP 2011 MIR HUC10 Boundary"
674,"BLM REA MIR 2011 PRISM Maximum Temperature for June, July, and August","BLM REA NWP 2011 PRISM Maximum Temperature for June, July, and August
BLM REA CYR 2013 Current (2010s) Mean June-July-August Temperature
BLM REA MIR 2011 RegCM3 Change in July/August Temperature
BLM REA MIR 2011 RegCM3 July/August Temperature (2050-2069)
BLM REA MIR 2011 RegCM3 July/August Temperature (1980-1999)"
675,BLM REA MIR 2011 Potential Disturbance Risk to Grizzly Bear based on Distance to human features,"BLM REA MIR 2011 Potential Threat to Grizzly Bear based on road density
BLM REA MIR 2011 Suitable Habitat Blocks for Grizzly Bear
BLM REA MIR 2011 Current status of Middle Rockies Ecoregion for Grizzly Bear
BLM REA MIR 2011 Potential food source for Grizzly Bear based on Yellowstone Cutthroat Trout distribution
BLM REA MIR 2011 Potential Risk of Houndstongue in Middle Rockies Ecoregion"
676,BLM REA MIR 2011 Subalpine fir Decline Primary Host Forest Types,"BLM REA MIR 2011 Subalpine fir Decline Forest Mortality Index
BLM REA MIR 2011 Douglas-Fir Beetle Forest Mortality Index
BLM REA MIR 2011 Mountain Pine Beetle Forest Mortality Index
BLM REA MIR 2011 Future threat to Evergreen Forests in Middle Rockies Ecoregion
BLM REA MIR 2011 Douglas-Fir Beetle Primary Host Forest Types"
677,BLM REA MIR 2011 Rating based on size of contiguous habitat blocks for wolverine,"BLM REA MIR 2011 Rating based on distances between large habitat blocks for wolverine
BLM REA MIR 2011 Current status by 6th Level HUC for wolverine in the Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status for the Wolverine in the Middle Rockies Ecoregion
BLM REA MIR 2011 Rating based on size of contiguous habitat blocks for Canada Lynx in the Middle Rockies Ecoregion
BLM REA MIR 2011 Rating based on distances between large habitat blocks for Canada Lynx in Middle Rockies Ecoregion"
678,BLM REA MIR 2011 Vegetation Condition Class Score for Deciduous Forests in the Middle Rockies Ecoregion,"BLM REA MIR 2011 Vegetation Condition Class Score for Evergreen Forests in the Middle Rockies Ecoregion
BLM REA NWP 2011 vegetation condition class score for deciduous forests in the northwest plains ecoregion
BLM REA NWP 2011 Vegetation Condition Class Score for Evergreen Forests in the Northwest Plains Ecoregion
BLM REA MIR 2011 Current Status deciduous forests in the middle rockies ecoregion
BLM REA MIR 2011 Deciduous Forests in Middle Rockies Ecoregion"
679,BLM REA MIR 2011 Grayling Distribution,"BLM REA MIR 2011 ge maxent
BLM REA MIR 2011 NWP AdminUnitOff Pts
BLM REA MIR 2011 NWP PLSS Sec
BLM REA NWP 2011 MIR PLSS Sec
BLM REA NWP 2011 MIR AdminUnitOff Pts"
680,BLM REA MIR 2011 Vegetation types potentially suitable for Spotted Knapweed,"BLM REA NWP 2011 Vegetation types potentially suitable for Spotted Knapweed
BLM REA MIR 2011 Elevations potentially suitable for Spotted Knapweed
BLM REA NWP 2011 Elevations potentially suitable for Spotted Knapweed
BLM REA MIR 2011 Vegetation types potentially suitable for Diffuse Knapweed
BLM REA MIR 2011 Potentially suitable soil types for Spotted Knapweed"
681,BLM REA MIR 2011 Future Risk of Western Spruce Budworm Mortality (5years),"BLM REA MIR 2011 Future Risk of Spruce Beetle Mortality (5years)
BLM REA MIR 2011 Future Risk of Douglas-Fir Beetle Mortality (5years)
BLM REA MIR 2011 Future Risk of Mountain Pine Beetle Mortality (5years)
BLM REA MIR 2011 Future Risk of Subalpine fir Decline Mortality (5years)
BLM REA MIR 2011 Western Spruce Budworm Forest Mortality Index"
682,BLM REA MIR 2011 AG C Cold Water Fish Threats Number of Oil and Gas Wells,"BLM REA MIR 2011 AG C Cold Water Fish Threats Number of Mines
BLM REA NWP 2011 AG C Prairie Fish Threats Oil and Gas Wells
BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Number of Oil and Gas Wells
BLM REA MIR 2011 AG C Cold Water Fish Threats NUmber of Dams
BLM REA MIR 2011 AG C Cold Water Fish Threats Steelhead"
683,BLM REA MIR 2011 Potential Threat due to Proximity to Roads,"BLM REA NWP 2011 Potential Threat due to Proximity to Roads
BLM REA MIR 2011 Potential Threat due to Road Density
BLM REA NWP 2011 Potential Threat due to Road Density
BLM REA MIR 2011 Potential Threat due to Road Density Linear
BLM REA MIR 2011 Potential Threat due to Proximity to Towers and Power Lines"
684,BLM REA MIR 2011 Rating based on mean monthly snowpack for wolverine,"BLM REA MIR 2011 Rating based on mean monthly snowpack for American Marten in Middle Rockies Ecoregion
BLM REA MIR 2011 Rating Based on Mean Monthly Snowpack for Canada Lynx in Middle Rockies Ecoregion
BLM REA MIR 2011 Rating based on size of contiguous habitat blocks for wolverine
BLM REA MIR 2011 Rating based on distances between large habitat blocks for wolverine
BLM REA YKL 2011 Change in Decadal Average Annual Precipitation from the 2010s to the 2060s in Modeled Peregrine Falcon Habitat in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
685,BLM REA MIR 2011 Intact Vegetation Size Analysis for Ecological Intactness,"BLM REA MIR 2011 Connectivity Analysis for Ecological Intactness
BLM REA MIR 2011 Ecological Intactness Overall Score
BLM REA NWP 2011 Connectivity Analysis for Ecological Intactness
BLM REA MIR 2011 Development Analysis for Ecological Intactness
BLM REA NWP 2011 Ecological Intactness Overall Score"
686,BLM REA MIR 2011 RegCM3 November - February Precipitation (2050-2069),"BLM REA NWP 2011 RegCM3 November - February Precipitation (2050-2069)
BLM REA NWP 2011 RegCM3 November - February Temperature (2050-2069)
BLM REA MIR 2011 RegCM3 November - February Temperature (2050-2069)
BLM REA CYR 2013 Long-term Future (2060s) Total December-January-February Precipitation
BLM REA MIR 2011 RegCM3 November - February Precipitation (1980-1999)"
687,BLM REA MIR 2011 Connectivity Analysis for Ecological Intactness,"BLM REA NWP 2011 Connectivity Analysis for Ecological Intactness
BLM REA MIR 2011 Development Analysis for Ecological Intactness
BLM REA NWP 2011 Development Analysis for Ecological Intactness
BLM REA MIR 2011 Ecological Intactness Overall Score
BLM REA NWP 2011 Ecological Intactness Overall Score"
688,BLM REA MIR 2011 Lodgepole Pine distribution,"BLM REA CYR 2013 Current Distribution of Upland Mesic Spruce Forest
BLM REA MIR 2011 Spruce Beetle Forest Types
BLM REA CYR 2013 Current Distribution of Upland Mesic Spruce Hardwood Forest
BLM REA MIR 2011 Deciduous Forests in Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status deciduous forests in the middle rockies ecoregion"
689,BLM REA MIR 2011 evt mir 30m,"BLM REA MIR 2011 snap 30m
BLM REA MIR 2011 ned10m13 30m
BLM REA MIR 2011 NWP PLSS Twp
BLM REA MIR 2011 mirlf fuel08
BLM REA MIR 2011 fut agr"
690,BLM REA MIR 2011 TG C Statsgo DKnap,"BLM REA MIR 2011 TG C Statsgo RKnap
BLM REA MIR 2011 TG C Statsgo HoaryCress
BLM REA NWP 2011 TG C Statsgo DKnap
BLM REA NWP 2011 TG C Statsgo RKnap
BLM REA NWP 2011 TG C Statsgo HoaryCress"
691,BLM REA MIR 2011 Western Spruce Budworm Primary Host Forest Types,"BLM REA MIR 2011 Western Spruce Budworm Forest Mortality Index
BLM REA MIR 2011 Mountain Pine Beetle Primary Host Forest Types
BLM REA MIR 2011 Douglas-Fir Beetle Primary Host Forest Types
BLM REA MIR 2011 Spruce Beetle Forest Types
BLM REA NWP 2011 Potential Threat Score to Evergreen Forests based on Western Spruce Budworm Infestation for Northwest Plains Ecoregion"
692,BLM REA MIR 2011 Current Status by 6th Level HUC for Canada Lynx in Middle Rockies Ecoregion,"BLM REA MIR 2011 Current Status for Canada Lynx in Middle Rockies Ecoregion
BLM REA MIR 2011 Rating based on size of contiguous habitat blocks for Canada Lynx in the Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status by 6th Level HUC for Greater Sage-Grouse in Middle Rockies Ecoregion
BLM REA MIR 2011 Elk rating by 6th level HUC in the Middle Rockies Ecoregion
BLM REA MIR 2011 Current status by 6th Level HUC for wolverine in the Middle Rockies Ecoregion"
693,BLM REA MIR 2011 Current Status of Evergreen Forests in the Middle Rockies Ecoregion,"BLM REA MIR 2011 Evergreen Forests in the Middle Rockies Ecoregion
BLM REA MIR 2011 Current Status deciduous forests in the middle rockies ecoregion
BLM REA MIR 2011 Deciduous Forests in Middle Rockies Ecoregion
BLM REA MIR 2011 Vegetation Condition Class Score for Evergreen Forests in the Middle Rockies Ecoregion
BLM REA NWP 2011 Current Status of Evergreen Forests in the Northwest Plains Ecoregion"
