post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
"Bitvore Cellenus for Environmental, Social and Governance (ESG)",Bitvore,"Bitvore Cellenus for Environmental, Social and Governance (ESG) dataset provides information regarding: Environmental Data and more.",Supplier Risk,"ISS ESG Environmental and Social Disclosure Data QualityScore (CSR),Bitvore Cellenus For Corporate, Market and Industry,Nikkei Japan Corporate Governance Evaluation Data,ISS ESG Governance QualityScore (200+ factors, governance data) :",3,Environmental Data
"Restaurant Data - Connect With 250K+ Restaurant Owners, Executives, Operations With Ease.",Blue Mail Media,"Restaurant Data - Connect With 250K+ Restaurant Owners, Executives, Operations With Ease. dataset provides information regarding: Hospitality Industry Data and more.",Lead Scoring,"US Restaurant POI dataset with metadata,186584 Restaurants Database of United States,Automaton AI Restaurant Image (multi-camera CCTV data),90 West Data - US Consumer Credit Card / Debit Card / Transaction Data - Restaurant Panel :",5,Hospitality Industry Data
Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records,Blue Mail Media,"Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records dataset provides information regarding: Marketing Attribution Data, Individual Data,Consumer Lifestyle Data and more.","Persona Detection/Segmentation,Targeted Marketing","Consumer Marketing Data - Australian Personalised Data,ChannelIQ,Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes :",5,"Marketing Attribution Data, Individual Data,Consumer Lifestyle Data"
"Blue Mail Media's Consumer Demographic Data - Employment Data, Age Data, Gender Data.",Blue Mail Media,"Blue Mail Media's Consumer Demographic Data - Employment Data, Age Data, Gender Data. dataset provides information regarding: Individual Data and more.",,"Demographic - INDIA Population, household, gender, Income, marital status, education and employment.,Demografy's Consumer Demographics Prediction,Demographic Data APAC - Age & Gender (1st Party Data w/52M records),JobsIQ :",4,Individual Data
"Linkedin Data - Get Linkedin Contact Data Filtered By Company, Employee, Job Title and More",Blue Mail Media,"Linkedin Data - Get Linkedin Contact Data Filtered By Company, Employee, Job Title and More dataset provides information regarding: Social Data,Employment Data,Individual Data and more.","Lead Scoring,Online and Social Media Performance Tracking","Bright Data | Linkedin Data - company/employee profiles (global coverage),Company Name With linkedin and other data,LinkedIn Database, people, job titles, phone numbers, emails, company profile, skills,LinkedIn - Social Listening Data (Reacted Users) :",3,"Social Data,Employment Data,Individual Data"
"Get Consumer Data By Household Level, Individual Level and Zip-Code Level, 200M+ Records",Blue Mail Media,"Get Consumer Data By Household Level, Individual Level and Zip-Code Level, 200M+ Records dataset provides information regarding: Consumer Lifestyle Data,Individual Data and more.","Persona Detection/Segmentation,Targeted Marketing","TRAK Data - Full US Consumer Demographic Data File with 251M+ Individuals and 170M+ Households,Mapping Resources: Consumer List Database - Individual and Household Consumer Identity Data for the USA,Aquagenuity Drinking Water Quality Data API (US zip code level resolution),Throtle - Consumer Identity Resolution USA (130M+ households, 250M+ individuals) :",5,"Consumer Lifestyle Data,Individual Data"
Student Marketing Data - Reach Out to Students With Our Customizable Student Data,Blue Mail Media,Student Marketing Data - Reach Out to Students With Our Customizable Student Data dataset provides information regarding:  and more.,,"USA College Student Database - ASL Marketing,Student Loan Debt - Masterfile,Stirista Higher Education College Student and Gen Z Data,Student Taxonomy - Dexivo - Basic Data Records (First Name, Last Name, Address) :",3,
"Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads",Blue Mail Media,"Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads dataset provides information regarding: EHR Data,Healthcare Data,Marketing Attribution Data and more.",,"Best Healthcare Solutions Provider | Healthcare Data | Physician Data,Healthcare Industry Leads Data | Healthcare Leads | B2B Healthcare Leads,Pharma Data | Healthcare Data | Biopharma Data,Span Global Services: Healthcare Contact Data incl. US, Asia, Europe & Oceania - List of Physician Contacts - 20k+ Verified Data Points :",3,"EHR Data,Healthcare Data,Marketing Attribution Data"
B2C Contact Data - Global Contact List - Reach B2C Audience Globally With Our Verified 200M+ B2C Contact Data,Blue Mail Media,B2C Contact Data - Global Contact List - Reach B2C Audience Globally With Our Verified 200M+ B2C Contact Data dataset provides information regarding:  and more.,"Persona Detection/Segmentation,Targeted Marketing","Global Contact List Building - B2B / B2C / Mobile Contact Data,FrescoData Consumer People Data (B2C Contacts)Global Data, 3.6B+ Contacts,TowerData MAID - Email - B2C Contact Data for USA,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID :",4,
"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records",Blue Mail Media,"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records dataset provides information regarding: B2B Data and more.",,"Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives,B2B Contact Data | InfoClutch - Reach out to business professionals with ease through B2B contact data,Verified B2B Contact Discovery - Custom List :",4,B2B Data
Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe,Blue Mail Media,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe dataset provides information regarding: B2B Intent Data and more.,Lead Scoring,"Blue Mail Media's Healthcare Industry Leads Data Helps You Reach Healthcare Professionals Across the Globe,B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France),Managers and Decision Makers USA | B2B Data,USA B2B Finance Decision-makers Directors and above seniority :",4,B2B Intent Data
Small Business Contact Data - Reap Higher ROI With Our Small Business Owners Data,Blue Mail Media,Small Business Contact Data - Reap Higher ROI With Our Small Business Owners Data dataset provides information regarding:  and more.,,"Small Business Contact Data - Helps you reach Small Businesses across the Globe - Thomson Data,Open for Business B2B USA & Canada - 50MM US Contacts, 30MM US Businesses, Decision Makers, Small Business Owners, IT,Company profiles of small businesses,US Business Owners, Founders, and Presidents | B2B Contact Data :",4,
Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records,Blue Mail Media,Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records dataset provides information regarding: Firmographic Data and more.,,"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records,Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives,Matrix Marketing - 65k Small Medium Enterprises (SMEs) in South Africa with 150k executives :",3,Firmographic Data
"HR Data - Reach HR Decision Makers, HR Professionals With Ease",Blue Mail Media,"HR Data - Reach HR Decision Makers, HR Professionals With Ease dataset provides information regarding: Firmographic Data and more.",,"HR Data - Reach HR professionals across the world - Thomson Data,APAC Leads | Reach the Top Professionals Globally incl. Japan, Singapore - 44 Million Professionals,Targeted HR Email list | More than 720,000 Verfied Records | 95% Delivery Rate | eSalesData,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe :",5,Firmographic Data
CEO Contact Data - Reach 20M+ Chief Executive Officers Across the Globe Without any Hassle,Blue Mail Media,CEO Contact Data - Reach 20M+ Chief Executive Officers Across the Globe Without any Hassle dataset provides information regarding: Firmographic Data and more.,,"CEO Contact Data - Reach CEOs Across the Globe - Thomson Data,US Chief Executive Officers, CEOs | B2B Contact Data,Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data,B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records :",5,Firmographic Data
B2B Leads Data | Ecommerce Leads Data - Reach Executives With Our Vast 100M+ Verified Business Records,Blue Mail Media,B2B Leads Data | Ecommerce Leads Data - Reach Executives With Our Vast 100M+ Verified Business Records dataset provides information regarding: B2B Data and more.,Lead Scoring,"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records,APAC Leads | Tele-Verified C-Level Executives Email List for Asia,B2B Leads Data | InfoClutch - Reach out to business professionals with ease through B2B Leads data,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives :",5,B2B Data
Blue Mail Media's Healthcare Industry Leads Data Helps You Reach Healthcare Professionals Across the Globe,Blue Mail Media,Blue Mail Media's Healthcare Industry Leads Data Helps You Reach Healthcare Professionals Across the Globe dataset provides information regarding: Healthcare Data and more.,,"Healthcare Industry Leads Data | Healthcare Leads | B2B Healthcare Leads,Healthcare Professional Email List (1.2 million contacts),B2B Lists LLC / Healthcare email list/ Opt-in/ USA and Globe / 2.4M,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe :",5,Healthcare Data
"B2B Marketing Data | Telemarketing Data, 100M+ Verified Business Records, Global Coverage",Blue Mail Media,"B2B Marketing Data | Telemarketing Data, 100M+ Verified Business Records, Global Coverage dataset provides information regarding: B2B Marketing Fit Data and more.",Lead Scoring,"aKQired B2B TeleVerified Contact Data for B2B Telemarketing - Verified Emails And Phone Numbers,Global Database: Sales & Marketing Data Platform - Worldwide Business Coverage,KIA Biz's B2B Global Marketing Data for ABM, Email Marketing, Digital Marketing, and for all Outreach activities,Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records :",3,B2B Marketing Fit Data
Company Data - Reach Companies Globally Based on Different Filters - Verified Business Records,Blue Mail Media,"Company Data - Reach Companies Globally Based on Different Filters - Verified Business Records dataset provides information regarding: Business Registry Data,Company Data,Website Data and more.",Lead Scoring,"IDMERIT | IDMkyb - Know Your Business - Global data access to verify companies,NAICS DATA - Connect With the Businesses Based on NAICS Codes List with our 100M+ Verified Business Records,Coresignal Company Database API / Global / Filter or Enrich with Fresh Data from 440M Member Resume and 25M Company Records,BA - Business Signals & Scores; News Analytics-based Signals for 700,000+ Companies Globally; 2 Years' History :",3,"Business Registry Data,Company Data,Website Data"
NAICS DATA - Connect With the Businesses Based on NAICS Codes List with our 100M+ Verified Business Records,Blue Mail Media,NAICS DATA - Connect With the Businesses Based on NAICS Codes List with our 100M+ Verified Business Records dataset provides information regarding: Business Registry Data and more.,Lead Scoring,"B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records,Multimedia Lists - Telco New Connects and Disconnects Data of USA businesses (2.1 Million records),B2B Leads Data - Connect with Businesses from Your Preferred Region - Thomson Data,Data for all Businesses in Poland ( 5 M Businesses ) :",3,Business Registry Data
"SIC DATA - SIC Code Mailing List, Reach Decision Makers Filtered By SIC Codes, Global Coverage",Blue Mail Media,"SIC DATA - SIC Code Mailing List, Reach Decision Makers Filtered By SIC Codes, Global Coverage dataset provides information regarding:  and more.",Lead Scoring,"SIC Code Email List | SIC Codes 01 to 100,UK Companies Data, Addresses, Unique Industries, Job Titles, Contact Persons, Emails, SIC Codes,Span Global Services: C-Level B2B Contact Data - Global Executive Email Lists (with Location, SIC Code), Consent-based, Tele-verified,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe :",3,
"Manufacturing Company Data - Get List of Manufacturing Companies, Decision Makers Data. Global Coverage",Blue Mail Media,"Manufacturing Company Data - Get List of Manufacturing Companies, Decision Makers Data. Global Coverage dataset provides information regarding: Industry-Specific Data and more.",Lead Scoring,"List of 22M Manufacturing companies worldwide,Alqami Defense Industry Manufacturing Data Global | market forecasts & intelligence,Marine Vessels & Ships - Engine Manufacturer Data,Eskimi Device Manufacturers Data in 100+ countries. Reach 2Bln unique device IDs :",3,Industry-Specific Data
Technographic Data - Connect with Decision Makers With Our Technographic Data | Tech Installs | Installed Base | Global Coverage,Blue Mail Media,Technographic Data - Connect with Decision Makers With Our Technographic Data | Tech Installs | Installed Base | Global Coverage dataset provides information regarding: Technographics Data and more.,Lead Scoring,"Technographic Data | InfoClutch - Easily connect with technology users across the globe through technographic data | Tech Install Data,Wappalyzer Technology Installs on Websites - Crawl API - Technographic Data,Technographic Data Complete Tech Stack | Technographics Data + B2B Data + IT Intelligence,Technographic Data- Connect with technology top executives through technographic data, Worldwide (9 Million verified contacts) - Thomson Data :",5,Technographics Data
Aviation Data - Reach the Decision Makers in Aviation Industry to Reap Maximum ROI,Blue Mail Media,Aviation Data - Reach the Decision Makers in Aviation Industry to Reap Maximum ROI dataset provides information regarding: Aerospace Industry Data and more.,,"Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe,Aviation Edge - Global Flight Tracker API - Live & Airborne Flight Data,B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France),B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base :",5,Aerospace Industry Data
"Freight Data - Reach the Decision Makers from Freight Services Industry With Our Accurate Freight Data, Verified Business Records",Blue Mail Media,"Freight Data - Reach the Decision Makers from Freight Services Industry With Our Accurate Freight Data, Verified Business Records dataset provides information regarding: Industry-Specific Data and more.",,"Oil and Gas Data - Reach Top Decision Makers With Our Verified Oil and Gas List - Blue Mail Media,Alqami Airport Landing Slot Data UK, Canada, New Zealand | Passenger & Freight with 25 years history,B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France),IT Directors and Decision Makers USA | B2B Data :",5,Industry-Specific Data
"Real Estate Data - Real Estate Agents, Brokers, Investors | 900K+ Verified Real Estate Records",Blue Mail Media,"Real Estate Data - Real Estate Agents, Brokers, Investors | 900K+ Verified Real Estate Records dataset provides information regarding: Real Estate Investment Data,Real Estate Data and more.",,"Real Estate Data | Property Data | Real Estate Market Data,Nationwide Data Provider for Real Estate Investors, Wholesalers and Agents,TRAK Data - Full US Real Estate Data - Recent Home Buyers, Home Loan Details, Home Attributes, Real Estate Investors, and Much More.,Real Estate Funds: Properties' Details Data | Worldwide Funds & REITS Data | Datacie Real Estate :",5,"Real Estate Investment Data,Real Estate Data"
Mortgage Data - Reach Mortgage Brokers With Our Verified Mortgage Data - Blue Mail Media,Blue Mail Media,Mortgage Data - Reach Mortgage Brokers With Our Verified Mortgage Data - Blue Mail Media dataset provides information regarding: Real Estate Investment Data and more.,,"Tovo Data Mortgage Lending Leads USA - 170M+ leads generated online for direct mail,US National Real Estate Sale and Mortgage Data (228+Million Records),Mortgage Taxonomy - Dexivo - Basic Data Records (First Name, Last Name, Address),Oil and Gas Data - Reach Top Decision Makers With Our Verified Oil and Gas List - Blue Mail Media :",3,Real Estate Investment Data
"Property Data - Reach Property Managers and Property Owners With Our Verified and Accurate Property Data, 100M+ Business Records",Blue Mail Media,"Property Data - Reach Property Managers and Property Owners With Our Verified and Accurate Property Data, 100M+ Business Records dataset provides information regarding: Real Estate Data and more.",,"Datastream Real Property and New Home Owners File USA - Property Ownership Data,US National Real Estate Property & Assessment Data (157+ Million Property Records),Total Property Profiles - U.S. Only,Donuka: Florida property data -- * million records :",5,Real Estate Data
Agricultural Data - Reach Decision Makers From Agricultural services Sector like Crop Production - Global Coverage - 100M+ Business Records.,Blue Mail Media,Agricultural Data - Reach Decision Makers From Agricultural services Sector like Crop Production - Global Coverage - 100M+ Business Records. dataset provides information regarding: Agriculture Data and more.,,"CropProphet Enterprise: Agricultural Yield & Production Data for USA, Brazil & Argentina,Automaton AI Agriculture raw data,CustomWeather 6-Month Agricultural Outlooks - Global - with Comprehensive Web Portal,HSAT Agricultural Data: Sugar Mapping, Health and Harvest Predictions (covers UK, France, China, Brazil, Indonesia) :",3,Agriculture Data
Oil and Gas Data - Reach Top Decision Makers With Our Verified Oil and Gas List - Blue Mail Media,Blue Mail Media,"Oil and Gas Data - Reach Top Decision Makers With Our Verified Oil and Gas List - Blue Mail Media dataset provides information regarding: Energy Data,Industry-Specific Data and more.",,"Axiom EMI Oil & Gas and Renewables Data (Global): Offshore Oil & Gas Platforms Database,Mortgage Data - Reach Mortgage Brokers With Our Verified Mortgage Data - Blue Mail Media,Managers and Decision Makers USA | B2B Data,Axiom EMI Oil & Gas and Renewables Data (Global): LNG Terminals Database (Terminals, FLNG, FSRUs) :",3,"Energy Data,Industry-Specific Data"
Automotive Data - Reach Automotive Industry Executives With Our Robust Automotive Data - Global Coverage - 100M+ Business Records,Blue Mail Media,"Automotive Data - Reach Automotive Industry Executives With Our Robust Automotive Data - Global Coverage - 100M+ Business Records dataset provides information regarding: GPS Data,Automotive Industry Data and more.",,"Oxylabs Automotive Industry Data Wordwide,Marketcheck Automotive API US & Canada (Gives Access To All Automotive Data, All In One Place),Total Automotive Profiles - U.S. Only,POI Dataset - Automotive brands in the UK :",4,"GPS Data,Automotive Industry Data"
"Education Industry Data - School Data - Reach Out to Educational Institutions, Schools and Colleges With Ease",Blue Mail Media,"Education Industry Data - School Data - Reach Out to Educational Institutions, Schools and Colleges With Ease dataset provides information regarding: Education Industry Data and more.",,"Stirista Higher Education College Student and Gen Z Data,US Education Industry Professionals | B2B Contact Data,DDS Schools | POIs for Germany (30k records of schools),US Options Data Packages for Trading, Research, Education & Sentiment :",4,Education Industry Data
"Political Data - Connect with Voters, Fundraisers, Donors Through Marketing Campaigns",Blue Mail Media,"Political Data - Connect with Voters, Fundraisers, Donors Through Marketing Campaigns dataset provides information regarding: Political Poll Data,Political Data and more.",,"Political Data | Voter Data - Run political campaigns easily - Thomson Data,Adstra Political | Voter Data USA of political affiliation and voting history,Data Discovers: B2B Contact Decision-Maker Discovery Data (USA, EU, India, Malaysia) for Marketing Campaigns,B2B Data Appending Services Worldwide - run successful marketing campaigns - Thomson Data :",5,"Political Poll Data,Political Data"
"BoldData - Worldwide B2B Geocoding: Latitude and Longitude coordinates (270M+ businesses, 150+ countries)",BoldData,"BoldData - Worldwide B2B Geocoding: Latitude and Longitude coordinates (270M+ businesses, 150+ countries) dataset provides information regarding: B2B Data,Company Data,B2B Marketing Fit Data,Demographic Data and more.",Targeted Marketing,"Geocoding Global - enrich your data with latitude and longitude coordinates,BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries),CSV2GEO | Geocoding and Interactive Map Data Worldwide (246 countries),HERE Geocoding and Search - PoI Data for 70 countries :",3,"B2B Data,Company Data,B2B Marketing Fit Data,Demographic Data"
List of 1M Banking and Insurance companies worldwide,BoldData,"List of 1M Banking and Insurance companies worldwide dataset provides information regarding: B2B Data,Firmographic Data,Business Registry Data,B2B Marketing Fit Data,Economic Data and more.",,"List of 6M IT companies worldwide,POI Dataset - Banking, Financial Services and Insurance UK,DDS Points of Sale database Germany | POS data (retail, banking and insurance, etc.),Healthcare Insurance Data | Healthcare Insurance Dataset | Insurance Database - MedicoReach :",4,"B2B Data,Firmographic Data,Business Registry Data,B2B Marketing Fit Data,Economic Data"
Historical Financial Data For 230M Companies Worldwide,BoldData,"Historical Financial Data For 230M Companies Worldwide dataset provides information regarding: Firmographic Data,Stock & Market Data,Economic Data and more.",,"FirstRate Data - US Fundamental Data (Historical Financial Data for 30 Years Quarterly Financials for 5500 Tickers),Caeli Ozone (O3) Air Quality - Worldwide - Historical Data (2018 - 2021),List of 6M IT companies worldwide,Nikkei Corporate Financial Data Japan - 4,000 listed companies, 50 years history, daily updated :",3,"Firmographic Data,Stock & Market Data,Economic Data"
"BoldData - B2B Directory (340M+ businesses, 150+ countries)",BoldData,"BoldData - B2B Directory (340M+ businesses, 150+ countries) dataset provides information regarding: Firmographic Data,Company Data,B2B Data, Business Registry Data and more.",,"BoldData - B2B Business Data Worldwide (340M+ businesses, 150+ countries),BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries),B2B Contact Data | B2B Lead Generation | Business directories,165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses :",4,"Firmographic Data,Company Data,B2B Data, Business Registry Data"
"BoldData - B2B Business Data Worldwide (340M+ businesses, 150+ countries)",BoldData,"BoldData - B2B Business Data Worldwide (340M+ businesses, 150+ countries) dataset provides information regarding: Firmographic Data,Company Data,B2B Data, Business Registry Data and more.",,"BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries),165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses,BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries),Data for all Businesses in Poland ( 5 M Businesses ) :",5,"Firmographic Data,Company Data,B2B Data, Business Registry Data"
BoldData - Healthcare Company Data (2.5M companies),BoldData,"BoldData - Healthcare Company Data (2.5M companies) dataset provides information regarding: Firmographic Data,Company Data,Marketing Attribution Data and more.",,"Quant IP Patent and Innovation Metrics for 1,000 Healthcare Companies - Healthcare Package,BoldData - List of 6,5M companies in UK,Healthcare SIC Data | Healthcare NAICs Data | Healthcare 80C Database - MedicoReach,Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant :",4,"Firmographic Data,Company Data,Marketing Attribution Data"
"BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries)",BoldData,"BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries) dataset provides information regarding: B2B Data,Company Data,B2B Marketing Fit Data and more.",Lead Scoring,"BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries),BoldData - B2B Website URL Data Worldwide (25M+ businesses, 150+ countries),HERE Map Data - street maps for 200 countries worldwide provided,165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses :",5,"B2B Data,Company Data,B2B Marketing Fit Data"
"BoldData - Custom Mailing List Creation Service (1,500+ criteria)",BoldData,"BoldData - Custom Mailing List Creation Service (1,500+ criteria) dataset provides information regarding: B2B Data,B2B Marketing Fit Data and more.",,"BoldData - List of 6M companies in Germany,Fifty: Audience Creation & Activation - Audience Data Service (North America, Europe, Asia),APAC Leads | Verified Business Mailing List for Japan, Singapore covering 45 million professionals,Easyleadz B2B database research service for Indian b2b contacts - custom service :",3,"B2B Data,B2B Marketing Fit Data"
List of Top Companies in The Netherlands,BoldData,"List of Top Companies in The Netherlands dataset provides information regarding: Company Data,B2B Data,Firmographic Data and more.",,"List of 3,2M companies in the Netherlands,3.3 Million Companies in Netherlands ( Full Coverage),Dataset of 3,3 M B2B entities in Netherlands (all companies, sole traders, ...),House Price Index in the Netherlands (10 years history) :",3,"Company Data,B2B Data,Firmographic Data"
Business Search API for 75 countries,BoldData,"Business Search API for 75 countries dataset provides information regarding: Business Registry Data,Company Data and more.",,"BoldData - B2B Business Data Worldwide (340M+ businesses, 150+ countries),HERE Geocoding and Search - PoI Data for 70 countries,The Open People Search API for USA consumers and businesses,165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses :",5,"Business Registry Data,Company Data"
BoldData - Private Company Database (300M+ private companies),BoldData,"BoldData - Private Company Database (300M+ private companies) dataset provides information regarding: Business Registry Data,Company Data and more.",,"BoldData - Global Company Data & B2B Contact Database (341m Companies, 227m Contacts),Inc. 5000 companies in USA (fastest growing private companies in the US in 2021),Nikkei Japan News | covers 3,000 stocks and private companies,Intellizence Company News Signals | API | Public & Private Companies (News Data for USA & Canada) :",4,"Business Registry Data,Company Data"
"BoldData - Global Company Data & B2B Contact Database (341m Companies, 227m Contacts)",BoldData,"BoldData - Global Company Data & B2B Contact Database (341m Companies, 227m Contacts) dataset provides information regarding: Business Registry Data,Company Data,B2B Data and more.","Targeted Marketing,MFA Security","[(Japan)] B2B Database: B2B Contacts and Company Data; 4,537,988 Companies and 22.5 Million Contacts,BoldData - B2B Contact Data & Company Data in Transport and Logistics (1.3M contacts),Global Database: Company and Contact Bulk Data,Datastream B2B | B2B Contact Database USA (114M contacts, 33M companies) :",5,"Business Registry Data,Company Data,B2B Data"
"BoldData - B2B Website URL Data Worldwide (25M+ businesses, 150+ countries)",BoldData,"BoldData - B2B Website URL Data Worldwide (25M+ businesses, 150+ countries) dataset provides information regarding: B2B Data,Firmographic Data,Company Data,B2B Marketing Fit Data,Website Data and more.",Lead Scoring,"BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries),BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries),HERE Map Data - street maps for 200 countries worldwide provided,165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses :",4,"B2B Data,Firmographic Data,Company Data,B2B Marketing Fit Data,Website Data"
List of 22M Manufacturing companies worldwide,BoldData,"List of 22M Manufacturing companies worldwide dataset provides information regarding: B2B Data,Firmographic Data,Business Registry Data,B2B Marketing Fit Data,Industry-Specific Data and more.",,"Manufacturing Company Data - Get List of Manufacturing Companies, Decision Makers Data. Global Coverage,List of 6M IT companies worldwide,Alqami Defense Industry Manufacturing Data Global | market forecasts & intelligence,Marine Vessels & Ships - Engine Manufacturer Data :",5,"B2B Data,Firmographic Data,Business Registry Data,B2B Marketing Fit Data,Industry-Specific Data"
"BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries)",BoldData,"BoldData - B2B Email Data Worldwide (11M+ businesses, 150+ countries) dataset provides information regarding: B2B Data,Company Data,B2B Marketing Fit Data,Email Data and more.",Lead Scoring,"BoldData - B2B E-mail Data Worldwide (11M+ businesses, 150+ countries),BoldData - B2B Website URL Data Worldwide (25M+ businesses, 150+ countries),HERE Map Data - street maps for 200 countries worldwide provided,165 World Countries B2B Marketing Data & Social Data including All Companies, Industories, Executives, Businesses :",3,"B2B Data,Company Data,B2B Marketing Fit Data,Email Data"
List of 20M Construction companies worldwide,BoldData,"List of 20M Construction companies worldwide dataset provides information regarding: B2B Data,Firmographic Data,Construction Industry Data,Business Registry Data,B2B Marketing Fit Data and more.",,"List of 6M IT companies worldwide,Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data,Databuild Online: Construction Project Leads Data for Africa & South Africa,Construction Equipment Manager Sentiment Data :",4,"B2B Data,Firmographic Data,Construction Industry Data,Business Registry Data,B2B Marketing Fit Data"
"List of 4,8M Schools worldwide",BoldData,"List of 4,8M Schools worldwide dataset provides information regarding: B2B Data,Business Registry Data,B2B Marketing Fit Data and more.",,"DDS Schools | POIs for Germany (30k records of schools),List of 6M IT companies worldwide,Schools database in the UK for state and independent schools -,Education Industry Data - School Data - Reach Out to Educational Institutions, Schools and Colleges With Ease :",3,"B2B Data,Business Registry Data,B2B Marketing Fit Data"
List of 800K Governmental organisation companies worldwide,BoldData,"List of 800K Governmental organisation companies worldwide dataset provides information regarding: B2B Data,Firmographic Data,B2B Marketing Fit Data,Political Data and more.",,"Every Government and Public Sector Organisation database in the UK,List of 800K companies in Chile,UN SDG Scores via API/Datafeed for companies, governments, funds and portfolios,270 M +Companies worldwide ( Full Coverage) :",5,"B2B Data,Firmographic Data,B2B Marketing Fit Data,Political Data"
"Brain Sentiment Indicator - Currencies, Cryptocurrencies and Commodities",Brain Company,"Brain Sentiment Indicator - Currencies, Cryptocurrencies and Commodities dataset provides information regarding: Economic Data,Foreign Exchange Market Data,Commodity Market Data,Social Media Sentiment Data and more.",,"NCFX Cryptocurrencies - Live Cryptocurrency Data, Global Coverage,Live Streaming FIX Feed - Live Global Currency Data (Forex, Equity Indices, Cryptocurrencies, Metals & Individual Stocks),Finage Real-Time & Historical Cryptocurrency Market Feed - Global Cryptocurrency Data,Digital Currencies Data | 5000 crypto pairs & 150 exchanges :",4,"Economic Data,Foreign Exchange Market Data,Commodity Market Data,Social Media Sentiment Data"
Brain Language Metrics on Company Filings - Stock Market Sentiment Data / USA / Scores for 6000+ US Stocks,Brain Company,"Brain Language Metrics on Company Filings - Stock Market Sentiment Data / USA / Scores for 6000+ US Stocks dataset provides information regarding: Stock & Market Data,Economic Data,Social Media Sentiment Data, Legal and IP Data and more.",,"Brain Language Metrics on Earnings Calls - 4500+ US Stocks,Brain Sentiment Indicator / Stock Sentiment using NLP on financial news / 10000+ Global Stocks,SocialSentiment.io - Social media sentiment analysis of posts related to stocks - 30 days of history API,Risklio Event-Aware Trading Insights | US Stock Sentiment & Equity Market Insights :",4,"Stock & Market Data,Economic Data,Social Media Sentiment Data, Legal and IP Data"
